date,feature_set,protocol,RV_target,RV_pred
2014-01-07,core,static,0.992997846,0.7471936941146851
2014-01-08,core,static,0.559821954,0.8184992074966431
2014-01-09,core,static,0.722148111,0.7647756934165955
2014-01-10,core,static,0.830818168,0.7490228414535522
2014-01-14,core,static,1.116640334,1.1693000793457031
2014-01-15,core,static,0.759765617,0.817597508430481
2014-01-16,core,static,0.738507953,0.8341478705406189
2014-01-17,core,static,0.992482876,0.7668812870979309
2014-01-20,core,static,0.635157585,0.8041576147079468
2014-01-21,core,static,0.682365229,0.7668281197547913
2014-01-22,core,static,0.905561012,0.810929536819458
2014-01-23,core,static,0.867715623,0.9661028981208801
2014-01-24,core,static,0.987617595,0.9480956792831421
2014-01-27,core,static,1.050051769,0.922469973564148
2014-01-28,core,static,0.836725911,0.7538346648216248
2014-01-29,core,static,0.773780124,0.8888075351715088
2014-01-30,core,static,1.275964583,1.146710991859436
2014-01-31,core,static,1.182791845,1.3283058404922485
2014-02-03,core,static,1.192218173,1.1110224723815918
2014-02-04,core,static,1.607195838,1.5113506317138672
2014-02-05,core,static,1.237895317,1.1839797496795654
2014-02-06,core,static,0.954783338,0.9534571170806885
2014-02-07,core,static,0.739732137,0.7908247113227844
2014-02-10,core,static,0.704429565,0.8034818768501282
2014-02-12,core,static,0.679345724,0.694614052772522
2014-02-13,core,static,0.759548142,1.1100735664367676
2014-02-14,core,static,1.559276049,1.3765552043914795
2014-02-17,core,static,1.041349697,1.0035754442214966
2014-02-18,core,static,1.475852682,1.3766162395477295
2014-02-19,core,static,0.799084868,0.8513246178627014
2014-02-20,core,static,1.121794433,1.2540215253829956
2014-02-21,core,static,0.847243551,1.1698637008666992
2014-02-24,core,static,1.188367941,1.1014623641967773
2014-02-25,core,static,0.702234718,0.8353593349456787
2014-02-26,core,static,0.826871549,0.8620852828025818
2014-02-27,core,static,0.859734888,0.8590671420097351
2014-02-28,core,static,1.054092114,0.9359487891197205
2014-03-03,core,static,1.205981273,1.0365877151489258
2014-03-04,core,static,0.782462198,0.9724762439727783
2014-03-05,core,static,0.695405374,0.6784809827804565
2014-03-06,core,static,0.932151791,1.0553988218307495
2014-03-07,core,static,0.706678062,0.862139105796814
2014-03-10,core,static,0.832449829,0.8447684645652771
2014-03-11,core,static,0.841727203,0.6902693510055542
2014-03-12,core,static,0.770942154,0.9354172348976135
2014-03-13,core,static,0.83867456,0.7218308448791504
2014-03-14,core,static,1.11135841,1.166602373123169
2014-03-17,core,static,1.176109127,0.8561850190162659
2014-03-18,core,static,0.885405531,0.8179123997688293
2014-03-19,core,static,1.391275657,1.1807663440704346
2014-03-25,core,static,0.971454901,1.0226261615753174
2014-03-26,core,static,0.965069257,0.93293696641922
2014-03-27,core,static,1.305605458,1.3446036577224731
2014-03-28,core,static,0.891011347,1.0373631715774536
2014-03-31,core,static,0.696212036,0.7374488711357117
2014-04-01,core,static,0.755436726,0.7142001986503601
2014-04-02,core,static,0.852963778,0.8311788439750671
2014-04-03,core,static,0.705574205,0.867605447769165
2014-04-04,core,static,0.540159214,0.634543776512146
2014-04-07,core,static,0.657850641,0.6959900259971619
2014-04-08,core,static,0.913799219,0.7218899726867676
2014-04-09,core,static,1.009909084,0.9871798157691956
2014-04-10,core,static,0.88977112,1.0113911628723145
2014-04-11,core,static,1.065543691,0.9757643938064575
2014-04-14,core,static,0.892043734,0.7693418860435486
2014-04-15,core,static,0.741746887,0.7751288414001465
2014-04-16,core,static,0.905622157,1.0558810234069824
2014-04-17,core,static,0.950018971,0.8309474587440491
2014-04-18,core,static,0.588050118,0.7209134101867676
2014-04-21,core,static,0.685519465,0.7254211902618408
2014-04-22,core,static,0.6050715,0.8475664854049683
2014-04-23,core,static,0.668190727,0.5884944796562195
2014-04-24,core,static,0.753196398,0.8155588507652283
2014-04-25,core,static,0.817154257,0.8501787781715393
2014-04-28,core,static,0.520267466,0.6434932947158813
2014-04-30,core,static,0.77065129,0.6733315587043762
2014-05-01,core,static,0.847124779,0.7081388831138611
2014-05-02,core,static,0.446850525,0.5862760543823242
2014-05-07,core,static,0.68703074,1.1144949197769165
2014-05-08,core,static,0.663834596,0.6766133904457092
2014-05-09,core,static,0.824956506,0.7592703700065613
2014-05-12,core,static,0.649879728,0.6443454027175903
2014-05-13,core,static,0.570596865,0.6000381112098694
2014-05-14,core,static,0.446892068,0.5011280179023743
2014-05-15,core,static,0.643769449,0.5945940613746643
2014-05-16,core,static,0.520616125,0.6147313117980957
2014-05-19,core,static,0.680309158,0.6406821608543396
2014-05-20,core,static,0.558001646,0.5716752409934998
2014-05-21,core,static,0.637539186,0.5218935012817383
2014-05-22,core,static,0.68424528,0.7820718884468079
2014-05-23,core,static,0.440522874,0.6373661160469055
2014-05-26,core,static,0.379134914,0.4054185450077057
2014-05-27,core,static,0.643464236,0.5751385688781738
2014-05-28,core,static,0.620302616,0.5707343220710754
2014-05-29,core,static,0.611571994,0.5932179689407349
2014-05-30,core,static,0.632804894,0.6410799622535706
2014-06-02,core,static,0.637777089,0.6844203472137451
2014-06-03,core,static,0.464242769,0.4767109751701355
2014-06-04,core,static,0.620389481,0.45947954058647156
2014-06-05,core,static,0.42855427,0.581843912601471
2014-06-06,core,static,0.486449663,0.5030574202537537
2014-06-09,core,static,0.391111241,0.46431437134742737
2014-06-10,core,static,0.62941204,0.7386490106582642
2014-06-11,core,static,0.388360914,0.47851383686065674
2014-06-12,core,static,0.555993862,0.5353994369506836
2014-06-13,core,static,0.685358278,0.8908315300941467
2014-06-16,core,static,0.617105134,0.7395227551460266
2014-06-17,core,static,0.510887778,0.49741968512535095
2014-06-18,core,static,0.529231193,0.5622639060020447
2014-06-19,core,static,0.715569021,0.7564955949783325
2014-06-20,core,static,0.632879365,0.6161677837371826
2014-06-23,core,static,0.541079922,0.5390274524688721
2014-06-24,core,static,0.60103111,0.6094310879707336
2014-06-25,core,static,0.470011295,0.5118820667266846
2014-06-26,core,static,0.396812577,0.41397973895072937
2014-06-27,core,static,0.840218854,0.958976686000824
2014-06-30,core,static,0.575495043,0.5882923007011414
2014-07-01,core,static,0.837927292,0.7773008942604065
2014-07-02,core,static,0.390612505,0.5476045608520508
2014-07-03,core,static,0.421040328,0.5203840732574463
2014-07-04,core,static,0.33971896,0.4266957640647888
2014-07-07,core,static,0.370342586,0.46451738476753235
2014-07-08,core,static,0.61948247,0.5843366980552673
2014-07-09,core,static,0.509681531,0.5668157935142517
2014-07-10,core,static,0.404545025,0.5513656735420227
2014-07-11,core,static,0.533357751,0.49818935990333557
2014-07-14,core,static,0.441557988,0.5697132349014282
2014-07-15,core,static,0.487510589,0.4525012671947479
2014-07-16,core,static,0.340482272,0.4225699007511139
2014-07-17,core,static,0.37393008,0.5140722393989563
2014-07-18,core,static,0.553599606,0.5258299708366394
2014-07-22,core,static,0.402923304,0.5268746614456177
2014-07-23,core,static,0.301148867,0.39083248376846313
2014-07-24,core,static,0.520468624,0.5425453782081604
2014-07-25,core,static,0.375255207,0.5587630867958069
2014-07-28,core,static,0.491453843,0.5108325481414795
2014-07-29,core,static,0.366674576,0.41576749086380005
2014-07-30,core,static,0.417856233,0.3885878324508667
2014-07-31,core,static,0.495580587,0.5248605608940125
2014-08-01,core,static,0.47997931,0.5057528614997864
2014-08-04,core,static,0.448886857,0.4738982915878296
2014-08-05,core,static,0.540382534,0.7122552990913391
2014-08-06,core,static,0.684751694,0.614151656627655
2014-08-07,core,static,0.837579444,0.6650532484054565
2014-08-08,core,static,1.195580919,1.433899998664856
2014-08-11,core,static,0.678732465,0.8127270936965942
2014-08-12,core,static,0.504167118,0.6060686111450195
2014-08-13,core,static,0.595982742,0.6043742895126343
2014-08-14,core,static,0.418290871,0.5052682757377625
2014-08-15,core,static,0.301495176,0.44384798407554626
2014-08-18,core,static,0.427907449,0.38989460468292236
2014-08-19,core,static,0.305121905,0.3898180425167084
2014-08-20,core,static,0.30348797,0.38674893975257874
2014-08-21,core,static,0.387021562,0.39124205708503723
2014-08-22,core,static,0.315356809,0.4826614558696747
2014-08-25,core,static,0.380377925,0.3844578266143799
2014-08-26,core,static,0.310821029,0.4514032006263733
2014-08-27,core,static,0.458983975,0.5093479752540588
2014-08-28,core,static,0.386798396,0.41205212473869324
2014-08-29,core,static,0.390640655,0.446461021900177
2014-09-01,core,static,0.229310443,0.3826189339160919
2014-09-02,core,static,0.536623747,0.695402979850769
2014-09-03,core,static,0.460955828,0.5224004983901978
2014-09-04,core,static,0.402660381,0.4092715382575989
2014-09-05,core,static,0.477437132,0.5567582249641418
2014-09-08,core,static,0.379694099,0.40858426690101624
2014-09-09,core,static,0.340213024,0.3903757333755493
2014-09-10,core,static,0.394078853,0.5149624943733215
2014-09-11,core,static,0.400204247,0.3875173330307007
2014-09-12,core,static,0.514204318,0.45311176776885986
2014-09-16,core,static,0.359727107,0.41385868191719055
2014-09-17,core,static,0.35162346,0.4185134470462799
2014-09-18,core,static,0.361797563,0.4510088860988617
2014-09-19,core,static,0.517268179,0.6456222534179688
2014-09-22,core,static,0.358341852,0.5597081184387207
2014-09-24,core,static,0.503660098,0.4787795841693878
2014-09-25,core,static,0.338199907,0.4090397357940674
2014-09-26,core,static,0.57338598,0.6104698777198792
2014-09-29,core,static,0.458480285,0.44394758343696594
2014-09-30,core,static,0.546453099,0.659048855304718
2014-10-01,core,static,0.643163557,0.577311098575592
2014-10-02,core,static,0.763284132,1.198952317237854
2014-10-03,core,static,1.002051069,0.6285189986228943
2014-10-06,core,static,0.554270849,0.7127735614776611
2014-10-07,core,static,0.612575771,0.650701105594635
2014-10-08,core,static,0.587147225,0.6391050219535828
2014-10-09,core,static,0.918565174,0.9151891469955444
2014-10-10,core,static,0.747087251,0.7022979855537415
2014-10-14,core,static,0.762606777,0.8448586463928223
2014-10-15,core,static,0.990673513,0.7148532867431641
2014-10-16,core,static,0.985062548,0.7950776219367981
2014-10-17,core,static,1.051738655,1.1632333993911743
2014-10-20,core,static,0.907331271,1.0228062868118286
2014-10-21,core,static,1.088206822,1.2762256860733032
2014-10-22,core,static,0.791233546,0.9228477478027344
2014-10-23,core,static,0.714696122,0.8407555222511292
2014-10-24,core,static,0.726099165,0.7428745627403259
2014-10-27,core,static,0.487181233,0.5802561640739441
2014-10-28,core,static,0.465956633,0.5953382849693298
2014-10-29,core,static,0.678077573,0.7018986940383911
2014-10-30,core,static,0.415250511,0.6063783168792725
2014-10-31,core,static,2.197709932,2.619920015335083
2014-11-04,core,static,1.91155042,1.4132589101791382
2014-11-05,core,static,1.000533776,1.0774050951004028
2014-11-06,core,static,1.248812995,1.1472183465957642
2014-11-07,core,static,0.548365441,0.8249813914299011
2014-11-10,core,static,0.579079927,0.7216709852218628
2014-11-11,core,static,0.65752843,1.0055804252624512
2014-11-12,core,static,1.030726834,0.8779401779174805
2014-11-13,core,static,0.887644927,0.9790024757385254
2014-11-14,core,static,0.947258146,0.8309921622276306
2014-11-17,core,static,1.050959551,1.616884469985962
2014-11-18,core,static,0.675911807,0.8245445489883423
2014-11-19,core,static,0.730267259,0.8039705157279968
2014-11-20,core,static,0.563032298,0.6862948536872864
2014-11-21,core,static,0.920450182,0.852985680103302
2014-11-25,core,static,0.500278972,0.6646770238876343
2014-11-26,core,static,0.385690315,0.5401477217674255
2014-11-27,core,static,0.504334597,0.5997973680496216
2014-11-28,core,static,0.506878478,0.5871734619140625
2014-12-01,core,static,0.653951824,0.6173362731933594
2014-12-02,core,static,0.516025234,0.6960720419883728
2014-12-03,core,static,0.625287137,0.6357015371322632
2014-12-04,core,static,0.500411663,0.5313701033592224
2014-12-05,core,static,0.428957219,0.5921916365623474
2014-12-08,core,static,0.691324558,0.5340529680252075
2014-12-09,core,static,0.478608044,0.5439777374267578
2014-12-10,core,static,0.981933044,1.2025223970413208
2014-12-11,core,static,0.926974026,0.8663256168365479
2014-12-12,core,static,0.839666427,0.7960827350616455
2014-12-15,core,static,0.924103395,0.8337270021438599
2014-12-16,core,static,0.640895025,0.8636359572410583
2014-12-17,core,static,0.881768534,0.7920183539390564
2014-12-18,core,static,0.659280333,0.6642237901687622
2014-12-19,core,static,0.546700775,0.6603409051895142
2014-12-22,core,static,0.549342064,0.5782510638237
2014-12-24,core,static,0.326292687,0.47023478150367737
2014-12-25,core,static,0.29669535,0.40121281147003174
2014-12-26,core,static,0.31702593,0.40683865547180176
2014-12-29,core,static,0.988299037,1.007909893989563
2014-12-30,core,static,0.67278764,0.8941346406936646
2015-01-05,core,static,1.058164657,0.8843836188316345
2015-01-06,core,static,0.836866819,0.9767639636993408
2015-01-07,core,static,0.790408951,0.7120665311813354
2015-01-08,core,static,0.67724922,0.8151451945304871
2015-01-09,core,static,0.748734999,0.7667233943939209
2015-01-13,core,static,0.926055702,0.8697533011436462
2015-01-14,core,static,0.894258294,0.9532750844955444
2015-01-15,core,static,0.918970986,0.9270696640014648
2015-01-16,core,static,1.048491507,1.035475254058838
2015-01-19,core,static,0.798159098,0.6924599409103394
2015-01-20,core,static,0.727328205,0.9648793339729309
