model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,normal,US,extended,252,static,Full Test,0.1801141242409437,0.1163908399929219,0.035352526,0.307845571,0.030392294,0.028637798,48,48,28,TRUE,,,
1DCNN,normal,KR,extended,252,static,Full Test,0.1299077500766643,0.1022969312688051,0.026057778,0.2443658556273415,0.015829317,0.012592619,17,17,28,TRUE,,,
1DCNN,normal,JP,extended,60,static,Full Test,0.1863103521611857,0.1270792308939646,0.02721673,0.2737680342714273,0.015761,0.031987865,33,33,28,TRUE,,,
1DCNN,911,US,extended,22,static,Full Test,0.2854614718939752,0.1972611897521548,0.030712177,0.2710936928882907,0.018348405,0.029947679,15,15,28,TRUE,,,
1DCNN,911,US,extended,22,static,Shock,0.4925931455683807,0.3476155304908752,0.042422501,0.3125761855303834,0.018348405,0.029947679,15,15,28,TRUE,,,
1DCNN,911,US,extended,22,static,Recovery,0.2118042371200199,0.1630897486751729,0.02805074,0.2267334819703114,0.018348405,0.029947679,15,15,28,TRUE,,,
1DCNN,911,KR,extended,22,static,Full Test,0.447064786,0.3057890604524051,0.036117704,0.3167874588902379,0.014687331,0.034919877,31,31,28,TRUE,,,
1DCNN,911,KR,extended,22,static,Shock,0.6642730118112016,0.3130754585619326,0.037282661,0.4850119753296119,0.014687331,0.034919877,31,31,28,TRUE,,,
1DCNN,911,KR,extended,22,static,Recovery,0.3742628030023577,0.3039841728472928,0.035829137,0.2632759931208592,0.014687331,0.034919877,31,31,28,TRUE,,,
1DCNN,911,JP,extended,60,static,Full Test,0.2958107234935979,0.2389194203498668,0.021649768,0.2154544713878836,0.015271484,0.042189691,8,8,28,TRUE,,,
1DCNN,911,JP,extended,60,static,Shock,0.3923829305598674,0.3247825460774557,0.023474041,0.2267587833567317,0.015271484,0.042189691,8,8,28,TRUE,,,
1DCNN,911,JP,extended,60,static,Recovery,0.2641613448586944,0.2160225868225097,0.021163295,0.2067564034123809,0.015271484,0.042189691,8,8,28,TRUE,,,
1DCNN,gfc,US,extended,60,static,Full Test,1.2896883625412243,0.7485820123497744,0.085730896,0.7978640404813242,0.036252761,0.028079143,3,3,28,TRUE,,,
1DCNN,gfc,US,extended,60,static,Pre-Lehman,0.4054140589901359,0.2978565097908249,0.074071884,0.3636590483526785,0.036252761,0.028079143,3,3,28,TRUE,,,
1DCNN,gfc,US,extended,60,static,Lehman Crisis,2.428287827360737,1.9396365294853848,0.1393551888276158,0.8586157824902017,0.036252761,0.028079143,3,3,28,TRUE,,,
1DCNN,gfc,US,extended,60,static,Recovery,0.7847623210475081,0.5564417019486427,0.046538212,0.4988043279121114,0.036252761,0.028079143,3,3,28,TRUE,,,
1DCNN,gfc,KR,extended,22,static,Full Test,0.6755284628913644,0.4037344656711401,0.037645121,0.4596524998360318,0.03330647,0.040364528,2,2,28,TRUE,,,
1DCNN,gfc,KR,extended,22,static,Pre-Lehman,0.2884214901742852,0.2115616316145116,0.027931368,0.2524195413832366,0.03330647,0.040364528,2,2,28,TRUE,,,
1DCNN,gfc,KR,extended,22,static,Lehman Crisis,1.1868647060220183,0.8288018168029139,0.049667198,0.5096794791449167,0.03330647,0.040364528,2,2,28,TRUE,,,
1DCNN,gfc,KR,extended,22,static,Recovery,0.5782662685745269,0.43735424,0.053303582,0.4358456601685423,0.03330647,0.040364528,2,2,28,TRUE,,,
