"model","regime","country","feature_set","L","protocol","phase","RMSE","MAE","QLIKE","RMSE_CV","tuning_val_qlike","tuning_val_mse","tuning_best_epoch","final_epochs","n_features","is_best_L","best_val_loss","epochs_used","n_refits","source_branch","source_file"
"LSTM","normal","US","core","60","static","Full Test","0.1698264565276123","0.0942893901098266","0.0187011807880955","0.2902622026846415","0.0252809748922359","0.0274435378714159","37.0","37.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","normal","KR","core","22","static","Full Test","0.0977915763520973","0.0721483627315295","0.0137882757579631","0.1839530144608318","0.0127182061740274","0.0104102227897917","68.0","68.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","normal","JP","core","22","static","Full Test","0.1624021787084033","0.0992914569092123","0.0153184086151034","0.2386369018718389","0.0136135455464212","0.0297224227685918","27.0","27.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","static","Full Test","0.294022744616783","0.1906887021329668","0.0290026224995766","0.279224061665734","0.0160193141150658","0.0269424561411142","31.0","31.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","static","Recovery","0.2088623364508477","0.1511490293524482","0.0261372117422369","0.2235842183323312","0.0160193141150658","0.0269424561411142","31.0","31.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","static","Shock","0.5242931707688107","0.3646632623672485","0.0416104298318711","0.3326915140677593","0.0160193141150658","0.0269424561411142","31.0","31.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","static","Full Test","0.400711612259581","0.1988567411899566","0.0238802276408637","0.2839418746079861","0.0093007235089581","0.0221933722496032","93.0","93.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","static","Recovery","0.2308854742371044","0.1693626368811371","0.011905343205044","0.1624168953989566","0.0093007235089581","0.0221933722496032","93.0","93.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","static","Shock","0.7704474203191334","0.3179255326588948","0.0722232796225063","0.5625341065682076","0.0093007235089581","0.0221933722496032","93.0","93.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","static","Full Test","0.2243204399466693","0.1779981309309938","0.0131810813805884","0.1633843467180903","0.0101867448226422","0.0283181071281433","22.0","22.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","static","Recovery","0.2040463504445461","0.1673979253995986","0.0132863213993292","0.159705007444991","0.0101867448226422","0.0283181071281433","22.0","22.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","static","Shock","0.2879018230375593","0.2177489016737256","0.0127864313103101","0.1663789681804758","0.0101867448226422","0.0283181071281433","22.0","22.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","static","Full Test","0.5278710884843415","0.2888960482294268","0.0267443390267575","0.326566767402252","0.0152051868941531","0.0125964934941366","45.0","45.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","static","Lehman Crisis","0.9581786657420548","0.6407765462994576","0.0497441246328289","0.3388014038458191","0.0152051868941531","0.0125964934941366","45.0","45.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","static","Pre-Lehman","0.2484079769691622","0.1656111623078268","0.0191201955035685","0.2228235713700732","0.0152051868941531","0.0125964934941366","45.0","45.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","static","Recovery","0.2947715278960526","0.1971955850720405","0.0192150683309313","0.1873603126913066","0.0152051868941531","0.0125964934941366","45.0","45.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","static","Full Test","0.4080460492276225","0.2199473905890991","0.015673360118516","0.2776483847518586","0.0117511915843614","0.0137732107072107","85.0","85.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","static","Lehman Crisis","0.7251720829637546","0.4515738760010671","0.028891602305032","0.3114131944947598","0.0117511915843614","0.0137732107072107","85.0","85.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","static","Pre-Lehman","0.1938978346662901","0.1431543210419741","0.0118862235040949","0.1696947147457435","0.0117511915843614","0.0137732107072107","85.0","85.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","static","Recovery","0.2820249947399064","0.1422745011746883","0.0091947350054775","0.212565346962828","0.0117511915843614","0.0137732107072107","85.0","85.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","static","Full Test","0.3900670673945578","0.2099655264208459","0.0185917372429212","0.2869068247862135","0.0107267779982897","0.013304858174371","64.0","64.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","static","Lehman Crisis","0.7138429078226336","0.4212340001474347","0.0341210999448379","0.3355566307876971","0.0107267779982897","0.013304858174371","64.0","64.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","static","Pre-Lehman","0.1956335690002772","0.1433561960712667","0.0144735869626732","0.1817265395421796","0.0107267779982897","0.013304858174371","64.0","64.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","static","Recovery","0.1807139618888485","0.1367990134598372","0.0104148577573394","0.1456160310371188","0.0107267779982897","0.013304858174371","64.0","64.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","static","Crash","1.1462744850768676","0.856040222304208","0.0560344254728893","0.319134566694131","0.0140445930749243","0.0094234248264187","89.0","89.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","static","Full Test","0.4387101147103266","0.2334538690385318","0.0303053415265533","0.3826566842712193","0.0140445930749243","0.0094234248264187","89.0","89.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","static","Pre-crash","0.0939682264612109","0.073928672501019","0.0213226916954584","0.1950679983924547","0.0140445930749243","0.0094234248264187","89.0","89.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","static","Recovery","0.3213724474360286","0.1944386006022493","0.0291286851787161","0.3213058632274345","0.0140445930749243","0.0094234248264187","89.0","89.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","static","Crash","0.5115295591916116","0.34742728301457","0.0214280545066484","0.2603487046674957","0.0127011510778648","0.010367649603559","29.0","29.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","static","Full Test","0.269286469340823","0.1628350152844382","0.0224618368421868","0.2640644296754152","0.0127011510778648","0.010367649603559","29.0","29.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","static","Pre-crash","0.1366886105967513","0.0907066089766366","0.0117868962304346","0.1753157293822004","0.0127011510778648","0.010367649603559","29.0","29.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","static","Recovery","0.2482745223240892","0.1557936434013148","0.0245208595008202","0.2585696972777057","0.0127011510778648","0.010367649603559","29.0","29.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","static","Crash","0.5353460594175659","0.3551003744727687","0.0195515192604919","0.2338754600471075","0.0170642614982808","0.0104391931373018","25.0","25.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","static","Full Test","0.2238458262033012","0.1337376574383062","0.0174435788530268","0.2571814098101004","0.0170642614982808","0.0104391931373018","25.0","25.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","static","Pre-crash","0.112993047740821","0.0883368782021782","0.0183122967520443","0.2105377762119457","0.0170642614982808","0.0104391931373018","25.0","25.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","static","Recovery","0.1804834787551979","0.1191803138422709","0.0170741242379225","0.2300120193790063","0.0170642614982808","0.0104391931373018","25.0","25.0","10","True","","","","LSTM_HS","dl_results_core.csv"
"LSTM","normal","US","core","60","expanding","Full Test","0.16428112895242886","0.08895571701496482","0.017292292756766785","0.2807842978311127","","","","","10","True","0.015166675376274056","24.0","76.0","LSTM_HS","dl_results_core.csv"
"LSTM","normal","KR","core","22","expanding","Full Test","0.09844959564255142","0.0729245015221127","0.014238899277646547","0.1851907962470318","","","","","10","True","0.01423064667192041","16.0","74.0","LSTM_HS","dl_results_core.csv"
"LSTM","normal","JP","core","22","expanding","Full Test","0.1674019687927228","0.10068168301288395","0.015654215168426085","0.24598369010596613","","","","","10","True","0.014297812119308903","44.0","73.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","expanding","Full Test","0.44236139748884734","0.2688189274734921","0.0698826197839874","0.4200965686921749","","","","","10","True","0.01845404776759356","27.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","expanding","Recovery","0.23017332296553641","0.17677133110436527","0.031283897213581095","0.24639733218878204","","","","","10","True","0.01845404776759356","27.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","US","core","252","expanding","Shock","0.9075133797772664","0.6738283514976502","0.23971699909377503","0.5758648351496115","","","","","10","True","0.01845404776759356","27.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","expanding","Full Test","0.41819273478327373","0.21329632445293314","0.028482889540213968","0.296328894469077","","","","","10","True","0.010579650724522528","83.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","expanding","Recovery","0.2497587588109355","0.18308901349338916","0.014628215876409691","0.17569334900259365","","","","","10","True","0.010579650724522528","83.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","KR","core","60","expanding","Shock","0.7931424496587146","0.335244357585907","0.08441472025705343","0.5791046443056074","","","","","10","True","0.010579650724522528","83.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","expanding","Full Test","0.23433610830245424","0.17761987940709395","0.013373809523366994","0.170679283513168","","","","","10","True","0.0106610714690357","26.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","expanding","Recovery","0.20403065320968616","0.16206835338047573","0.012779788404279338","0.1596927213785913","","","","","10","True","0.0106610714690357","26.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","911","JP","core","60","expanding","Shock","0.3236229324750038","0.23593810200691223","0.015601388719945708","0.18702225993791816","","","","","10","True","0.0106610714690357","26.0","7.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","expanding","Full Test","0.4977125192543642","0.27313307958113237","0.02243411041617622","0.30790920748324","","","","","10","True","0.025221186198164592","47.0","25.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","expanding","Lehman Crisis","0.9025193808164143","0.58578898559014","0.04081848648438226","0.31912089483004236","","","","","10","True","0.025221186198164592","47.0","25.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","expanding","Pre-Lehman","0.23844445764672242","0.16282222275177918","0.01710223943616318","0.21388622971974297","","","","","10","True","0.025221186198164592","47.0","25.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","US","core","60","expanding","Recovery","0.2695493066013236","0.1943738766014576","0.013719039905663265","0.17132876682838263","","","","","10","True","0.025221186198164592","47.0","25.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","expanding","Full Test","0.4374110224892925","0.2138452454928868","0.015414308779734131","0.29762930947792077","","","","","10","True","0.014389395383401836","59.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","expanding","Lehman Crisis","0.80398496839349","0.4588355816016763","0.03138633738768981","0.34525808868692925","","","","","10","True","0.014389395383401836","59.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","expanding","Pre-Lehman","0.1721599962370582","0.12939532962712375","0.010457069924189662","0.1506702821223147","","","","","10","True","0.014389395383401836","59.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","KR","core","252","expanding","Recovery","0.27553030401130035","0.14278108552098273","0.008896075148933601","0.2076702269773969","","","","","10","True","0.014389395383401836","59.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","expanding","Full Test","0.3806867108332763","0.20512913269364935","0.017186975245533323","0.2800072720135681","","","","","10","True","0.017704977336849458","71.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","expanding","Lehman Crisis","0.6990194150026191","0.41626409062168057","0.03197467739774143","0.3285885412365075","","","","","10","True","0.017704977336849458","71.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","expanding","Pre-Lehman","0.18984189751196595","0.14045368893482194","0.013509361039961004","0.17634658137286147","","","","","10","True","0.017704977336849458","71.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","gfc","JP","core","252","expanding","Recovery","0.1665929286274299","0.12520332382870958","0.008523353032439914","0.13423755869232198","","","","","10","True","0.017704977336849458","71.0","24.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","expanding","Crash","1.2297636883721448","0.891827248391651","0.05215611773480442","0.3423788167094227","","","","","10","True","0.01819917046771706","25.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","expanding","Full Test","0.41087148565669585","0.2035908730880868","0.02088977802228993","0.35837496125839896","","","","","10","True","0.01819917046771706","25.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","expanding","Pre-crash","0.08645416147516881","0.06696898468903133","0.017494685350140822","0.17946960229818437","","","","","10","True","0.01819917046771706","25.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","US","core","252","expanding","Recovery","0.22645270719818883","0.15322005127867064","0.018088919217927504","0.22640578913034232","","","","","10","True","0.01819917046771706","25.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","expanding","Crash","0.4641499313108571","0.3162388375827244","0.018757578104468504","0.23623431181427298","","","","","10","True","0.01527714254168786","29.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","expanding","Full Test","0.2572046953661963","0.16465170320964628","0.02370435362598245","0.25221694709715325","","","","","10","True","0.01527714254168786","29.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","expanding","Pre-crash","0.15346142029235393","0.10841475895472935","0.01653042094487767","0.19682840225769246","","","","","10","True","0.01527714254168786","29.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","KR","core","22","expanding","Recovery","0.23998538065694358","0.1583233866840601","0.0255531553436411","0.24993683059649202","","","","","10","True","0.01527714254168786","29.0","13.0","LSTM_HS","dl_results_core.csv"
"LSTM","covid","JP","core","60","expanding","Crash","0.603146845895887","0.376125715280834","0.019971466786323378","0.2634954410859607","","","","","10","True","0.016177655588399998","37.0","12.0","LSTM_HS","dl_results_core.csv"
