model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,normal,US,momentum,252,static,Full Test,0.1737815428356053,0.1100033443674107,0.031451629,0.2970221156395422,0.029796267,0.02893022,50,50,14,TRUE,,,
1DCNN,normal,KR,momentum,22,static,Full Test,0.1152143120414172,0.091000517,0.022327477,0.2167264379985123,0.015456437,0.012101116,35,35,14,TRUE,,,
1DCNN,normal,JP,momentum,252,static,Full Test,0.1729800389499773,0.1052212867630671,0.019744191,0.2541802142618462,0.014734393,0.031214104,37,37,14,TRUE,,,
1DCNN,911,US,momentum,22,static,Full Test,0.2871646416870637,0.2008627858426835,0.033109238,0.2727111391438598,0.018572581,0.030555803,13,13,14,TRUE,,,
1DCNN,911,US,momentum,22,static,Shock,0.4666408363118118,0.3350432896614074,0.039291088,0.2961080842055811,0.018572581,0.030555803,13,13,14,TRUE,,,
1DCNN,911,US,momentum,22,static,Recovery,0.2274110213790995,0.1703672167929736,0.031704272,0.2434403268641433,0.018572581,0.030555803,13,13,14,TRUE,,,
1DCNN,911,KR,momentum,22,static,Full Test,0.378787674,0.2343617563738542,0.021211477,0.2684067014882902,0.010940921,0.025411298,50,50,14,TRUE,,,
1DCNN,911,KR,momentum,22,static,Shock,0.6764285903128525,0.3753195515385381,0.043956125,0.493887244,0.010940921,0.025411298,50,50,14,TRUE,,,
1DCNN,911,KR,momentum,22,static,Recovery,0.2562841670675849,0.1994456052780151,0.015577482,0.180283662,0.010940921,0.025411298,50,50,14,TRUE,,,
1DCNN,911,JP,momentum,22,static,Full Test,0.3351544875902706,0.2578565765144233,0.031914919,0.2441105991838784,0.016103239,0.04145496,9,9,14,TRUE,,,
1DCNN,911,JP,momentum,22,static,Shock,0.4302328058167878,0.3480296220098223,0.030516182,0.2486322926126443,0.016103239,0.04145496,9,9,14,TRUE,,,
1DCNN,911,JP,momentum,22,static,Recovery,0.3048323049024492,0.2338104310489836,0.032287915,0.2385891510328684,0.016103239,0.04145496,9,9,14,TRUE,,,
1DCNN,gfc,US,momentum,60,static,Full Test,0.514308092,0.3646827853491094,0.047040747,0.3181760368696485,0.024811449,0.019517658,13,13,14,TRUE,,,
1DCNN,gfc,US,momentum,60,static,Pre-Lehman,0.3516083086595218,0.2398764718547726,0.04030128,0.3153949402705041,0.024811449,0.019517658,13,13,14,TRUE,,,
1DCNN,gfc,US,momentum,60,static,Lehman Crisis,0.7937788233244897,0.644544684,0.056463574,0.2806714335234608,0.024811449,0.019517658,13,13,14,TRUE,,,
1DCNN,gfc,US,momentum,60,static,Recovery,0.4631775077075628,0.3863922707736492,0.056747374,0.29440117,0.024811449,0.019517658,13,13,14,TRUE,,,
1DCNN,gfc,KR,momentum,22,static,Full Test,0.4388914959393667,0.197758539,0.012181423,0.2986366738743147,0.018476651,0.01896934,38,38,14,TRUE,,,
1DCNN,gfc,KR,momentum,22,static,Pre-Lehman,0.1755219805175475,0.1360763498869809,0.012113729,0.1536126097890429,0.018476651,0.01896934,38,38,14,TRUE,,,
1DCNN,gfc,KR,momentum,22,static,Lehman Crisis,0.8165421828159392,0.3766760381601624,0.01506095,0.350650577,0.018476651,0.01896934,38,38,14,TRUE,,,
1DCNN,gfc,KR,momentum,22,static,Recovery,0.2226076381638559,0.1458877503871917,0.008166815,0.1677818304243376,0.018476651,0.01896934,38,38,14,TRUE,,,
