model,regime,country,feature_set,best_val_qlike,seq_len,param_lr,param_dropout,param_hidden_dim,param_num_filters,param_kernel_size,param_num_layers
1DCNN,normal,US,core,0.5320184012745867,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,US,core,0.5381654261362434,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,normal,US,momentum,0.5304389726112385,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,US,momentum,0.536607639299761,60,0.0026070247583707684,0.006175348288740734,32,,5,2.0
1DCNN,normal,US,extended,0.5380238070936486,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,normal,US,extended,0.5449700881053906,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,KR,core,0.47676856629167985,30,0.00019135880487692312,0.2406590942262119,64,128.0,7,
TCN,normal,KR,core,0.48160590118206503,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,KR,momentum,0.47549419915896424,30,0.0003839629299804173,0.1099085529881075,64,64.0,3,
TCN,normal,KR,momentum,0.4796003002895222,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,KR,extended,0.4781630045946619,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,normal,KR,extended,0.4855427511908435,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,normal,JP,core,0.7879881504583068,30,0.00014063366777718192,0.10753971856328177,64,32.0,5,
TCN,normal,JP,core,0.7931165344574872,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,JP,momentum,0.7845529493163613,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
TCN,normal,JP,momentum,0.7913249864055951,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,normal,JP,extended,0.7863680642952058,30,0.008706020878304856,0.2497327922401265,32,64.0,5,
TCN,normal,JP,extended,0.7939259709741232,60,0.0017643967683381545,0.09926940745579475,128,,3,4.0
1DCNN,911,US,core,0.8829326033592224,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,911,US,core,0.8889304995536804,60,0.0005611516415334506,0.2852142919229748,32,,3,2.0
1DCNN,911,US,momentum,0.888302743434906,30,0.00016435497475111326,0.009428755706020276,32,32.0,3,
TCN,911,US,momentum,0.8892198204994202,60,0.0007309539835912913,0.08736874205941257,32,,3,3.0
1DCNN,911,US,extended,0.8886834383010864,30,0.0003839629299804173,0.1099085529881075,64,64.0,3,
TCN,911,US,extended,0.8886008262634277,60,0.00010257563974185662,0.24463842853645024,128,,5,2.0
1DCNN,911,KR,core,1.0786426067352295,30,0.0069782812651260325,0.02654775061557585,128,128.0,7,
TCN,911,KR,core,1.0833771228790283,60,0.0015696396388661157,0.27656227050693505,64,,5,2.0
1DCNN,911,KR,momentum,1.082507848739624,30,0.00014063366777718192,0.10753971856328177,64,32.0,5,
TCN,911,KR,momentum,1.0810842514038086,60,0.0021137059440645744,0.09351332282682329,64,,3,4.0
1DCNN,911,KR,extended,1.083388328552246,30,0.007902619549708232,0.2896896099223678,32,32.0,7,
TCN,911,KR,extended,1.0837461948394775,60,0.0007309539835912913,0.08736874205941257,32,,3,3.0
1DCNN,911,JP,core,1.180765986442566,30,0.0005611516415334506,0.2852142919229748,32,128.0,5,
