regime,country,feature_set,protocol,best_single_model,single_QLIKE,single_RMSE_CV,best_ensemble_models,ensemble_n_models,ensemble_QLIKE,ensemble_RMSE_CV,QLIKE_improvement,RMSE_CV_improvement,ensemble_better_QLIKE
911,JP,core,expanding,LSTM,0.0133738095233669,0.170679283513168,LSTM+1DCNN+TST,3,0.012467736792913665,0.15919693310995628,0.0009060727304532352,0.011482350403211716,True
911,JP,core,static,LSTM,0.0131810813805884,0.1633843467180903,LSTM+TST,2,0.012806977342787426,0.1605613120815066,0.00037410403780097426,0.0028230346365837045,True
911,JP,extended,expanding,LSTM,0.0162942812357407,0.1848950164934482,LSTM+1DCNN+TST,3,0.014844768814384214,0.17322822132288762,0.0014495124213564844,0.011666795170560573,True
911,JP,extended,static,LSTM,0.0145048306763528,0.1706560451302627,LSTM+TST,2,0.0148782011324812,0.1732156217324747,-0.0003733704561284003,-0.0025595766022120103,False
911,JP,momentum,expanding,LSTM,0.0131249257374856,0.1705044676725131,LSTM+TST,2,0.012567095591653227,0.16185340412384697,0.0005578301458323727,0.008651063548666127,True
911,JP,momentum,static,TST,0.0132723135981576,0.1641137132732369,LSTM+TST,2,0.012652986699831736,0.15983574479452817,0.000619326898325865,0.004277968478708732,True
911,KR,core,expanding,TCN,0.020397208,0.2785259166645488,LSTM+1DCNN+TST,3,0.02008599889603034,0.2648620840115442,0.00031120910396965906,0.013663832653004582,True
911,KR,core,static,1DCNN,0.02168763,0.3588194314691512,LSTM+1DCNN,2,0.018829207665961127,0.28404242877363667,0.0028584223340388723,0.07477700269551452,True
911,KR,extended,expanding,TST,0.0289163093005666,0.2905114370684913,LSTM+TCN+TST,3,0.028045211291284285,0.30275642507017025,0.0008710980092823152,-0.012244988001678947,True
911,KR,extended,static,1DCNN,0.036117704,0.3167874588902379,1DCNN+TCN+TST,3,0.03267548698528402,0.3041972487813317,0.003442217014715983,0.012590210108906208,True
911,KR,momentum,expanding,TST,0.0231778309316114,0.2782896125795273,LSTM+1DCNN+TCN+TST,4,0.01609452426537314,0.2157134097558643,0.00708330666623826,0.06257620282366297,True
911,KR,momentum,static,1DCNN,0.021211477,0.2684067014882902,LSTM+1DCNN+TCN+TST,4,0.01882105538298475,0.23900386137160237,0.002390421617015248,0.02940284011668784,True
911,US,core,expanding,TST,0.0250548819457171,0.2475979750732337,TCN+TST,2,0.02428077264417156,0.23804126208066312,0.0007741093015455405,0.009556712992570576,True
911,US,core,static,TST,0.0246952471058774,0.2406128779142615,1DCNN+TST,2,0.023895877742326502,0.2307145850295501,0.0007993693635508989,0.00989829288471139,True
911,US,extended,expanding,TST,0.0269363645757883,0.2443577919482542,1DCNN+TST,2,0.026210239317370664,0.24941116252654383,0.0007261252584176356,-0.00505337057828964,True
911,US,extended,static,TST,0.0256058286965621,0.2368891056614906,1DCNN+TST,2,0.025202176385669003,0.2432083825212708,0.00040365231089309686,-0.006319276859780204,True
911,US,momentum,expanding,TST,0.0240073007856551,0.2391318566872978,LSTM+TST,2,0.024141980463526863,0.2412957416002382,-0.00013467967787176433,-0.0021638849129403948,False
911,US,momentum,static,TST,0.0254957916963148,0.2365070553698378,LSTM+TST,2,0.02436074707586294,0.23812285984431716,0.0011350446204518617,-0.001615804474479371,True
covid,JP,core,expanding,LSTM,0.0180510153453561,0.2812534737242938,LSTM+TCN,2,0.017766666680365494,0.25435120489252533,0.00028434866499060796,0.026902268831768494,True
covid,JP,core,static,LSTM,0.0174435788530268,0.2571814098101004,LSTM+TCN,2,0.017023701521211115,0.2468311570711044,0.0004198773318156851,0.010350252738996008,True
covid,JP,extended,expanding,LSTM,0.0201585383598644,0.2998247075406071,LSTM+1DCNN,2,0.019771653907630738,0.2917825211690307,0.0003868844522336608,0.008042186371576387,True
covid,JP,extended,static,LSTM,0.020328788655168,0.3113177599214601,LSTM+1DCNN,2,0.020928323008099686,0.3280813477708041,-0.0005995343529316861,-0.016763587849344008,False
covid,JP,momentum,expanding,LSTM,0.0179731476196686,0.2761939859775534,LSTM+TCN,2,0.017929559739085756,0.2472227659231633,4.3587880582843935e-05,0.028971220054390096,True
covid,JP,momentum,static,LSTM,0.018070393970593,0.2759017791907543,LSTM+TCN,2,0.01742782684017741,0.23690611619597512,0.0006425671304155882,0.03899566299477919,True
covid,KR,core,expanding,TST,0.0228642208340813,0.2521715405867574,LSTM+1DCNN+TST,3,0.022201622310097403,0.2499758269944818,0.0006625985239838983,0.0021957135922756055,True
covid,KR,core,static,TST,0.0205002516231126,0.2504298284576371,LSTM+TST,2,0.020598122450683064,0.24979411237067264,-9.787082757046345e-05,0.0006357160869644718,False
covid,KR,extended,expanding,1DCNN,0.029421753,0.2591681400834237,LSTM+1DCNN+TCN+TST,4,0.02577993704131667,0.24896068601932272,0.003641815958683327,0.01020745406410098,True
covid,KR,extended,static,TST,0.0253688971640343,0.2585407876197182,LSTM+1DCNN+TCN+TST,4,0.02235340515921315,0.2474860286934399,0.003015492004821152,0.011054758926278302,True
covid,KR,momentum,expanding,LSTM,0.0204860077562455,0.2472454521984564,LSTM+1DCNN+TST,3,0.020043358866540222,0.23523312326033843,0.00044264888970527855,0.012012328938117961,True
covid,KR,momentum,static,LSTM,0.0213855202753857,0.2758096299418102,LSTM+TCN+TST,3,0.02028954390010547,0.23602635829939506,0.001095976375280229,0.03978327164241513,True
covid,US,core,expanding,TCN,0.018994744,0.2966443495853146,1DCNN+TCN+TST,3,0.016581743617781686,0.26098779539870853,0.0024130003822183145,0.03565655418660607,True
covid,US,core,static,TST,0.0218088221114389,0.3494538638447471,LSTM+1DCNN+TST,3,0.02064341014287259,0.35326241329380054,0.0011654119685663086,-0.0038085494490534555,True
covid,US,extended,expanding,1DCNN,0.0253181311076512,0.3516227703107406,LSTM+1DCNN+TCN+TST,4,0.020369214337392427,0.27377339190749267,0.0049489167702587746,0.0778493784032479,True
covid,US,extended,static,TST,0.0263237341729945,0.374141087320235,LSTM+TCN+TST,3,0.02350201865965593,0.34433287778221955,0.0028217155133385685,0.02980820953801544,True
covid,US,momentum,expanding,TST,0.0207815864964217,0.3450418038287366,LSTM+1DCNN+TCN+TST,4,0.016446631075305574,0.2396971843192096,0.004334955421116126,0.105344619509527,True
covid,US,momentum,static,LSTM,0.0223921757401049,0.3597134282467192,LSTM+TCN+TST,3,0.019353811058227883,0.33777947373022,0.0030383646818770184,0.02193395451649921,True
gfc,JP,core,expanding,1DCNN,0.0148574832709206,0.2160687914826309,LSTM+1DCNN+TCN,3,0.012723963440415039,0.19114831950642674,0.0021335198305055605,0.024920471976204145,True
gfc,JP,core,static,TCN,0.016885172,0.265827967,TCN+TST,2,0.013019793293399948,0.19732532850852355,0.003865378706600052,0.06850263849147645,True
gfc,JP,extended,expanding,1DCNN,0.016076133,0.261961189589624,LSTM+1DCNN+TCN+TST,4,0.013674676509539588,0.2052890769037668,0.0024014564904604116,0.0566721126858572,True
gfc,JP,extended,static,1DCNN,0.015819441,0.2247139181436122,1DCNN+TCN+TST,3,0.014444541392387959,0.2229441675261714,0.0013748996076120411,0.0017697506174407795,True
gfc,JP,momentum,expanding,LSTM,0.0163948289009626,0.2598901951145838,LSTM+TCN+TST,3,0.01304303863330152,0.19326858193081878,0.0033517902676610794,0.066621613183765,True
gfc,JP,momentum,static,1DCNN,0.016971845,0.2377276172385931,1DCNN+TST,2,0.013655999547281562,0.2059628969279322,0.003315845452718437,0.03176472031066088,True
gfc,KR,core,expanding,TST,0.0129815814400469,0.2474236755445165,LSTM+TCN+TST,3,0.010580843673484627,0.18470784822694417,0.0024007377665622737,0.06271582731757233,True
gfc,KR,core,static,TST,0.0133448338134701,0.2506139485158448,LSTM+TCN+TST,3,0.010252252229041768,0.17681208868499143,0.0030925815844283326,0.07380185983085336,True
