ensemble_method,models,n_models,regime,country,feature_set,protocol,member_Ls,phase,RMSE,MAE,QLIKE,RMSE_CV,n_obs
equal_weight,LSTM+1DCNN,2,911,JP,core,expanding,LSTM:L60|1DCNN:L22,Full Test,0.2319286563602572,0.18207596903456783,0.013315033102564943,0.1689258099423932,133
equal_weight,LSTM+1DCNN,2,911,JP,core,expanding,LSTM:L60|1DCNN:L22,Shock,0.3152536219479723,0.243479317852429,0.013212522944728133,0.18218562071424838,28
equal_weight,LSTM+1DCNN,2,911,JP,core,expanding,LSTM:L60|1DCNN:L22,Recovery,0.20404047745078274,0.16570174268313817,0.01334236914465476,0.15970041071238264,105
equal_weight,LSTM+TCN,2,911,JP,core,expanding,LSTM:L60|TCN:L22,Full Test,0.24174991880465138,0.18512023682881118,0.014350513753929038,0.17607915071154356,133
equal_weight,LSTM+TCN,2,911,JP,core,expanding,LSTM:L60|TCN:L22,Shock,0.3391032659383231,0.2521436171872275,0.017860141008624424,0.1959683717809847,28
equal_weight,LSTM+TCN,2,911,JP,core,expanding,LSTM:L60|TCN:L22,Recovery,0.2082391800660812,0.16724733539990017,0.013414613152676936,0.16298669263300822,105
equal_weight,LSTM+TST,2,911,JP,core,expanding,LSTM:L60|TST:L60,Full Test,0.2281218602500181,0.1785750092132305,0.01282054067915204,0.16615312058912582,133
equal_weight,LSTM+TST,2,911,JP,core,expanding,LSTM:L60|TST:L60,Shock,0.3068955387687082,0.23395146995920454,0.014592550877644066,0.17735546979453318,28
equal_weight,LSTM+TST,2,911,JP,core,expanding,LSTM:L60|TST:L60,Recovery,0.20199217682707488,0.16380795301430398,0.012348004626220833,0.15809722660423195,105
equal_weight,1DCNN+TCN,2,911,JP,core,expanding,1DCNN:L22|TCN:L22,Full Test,0.24706753966929337,0.19062773536022445,0.014664706356232604,0.17995225300784157,133
equal_weight,1DCNN+TCN,2,911,JP,core,expanding,1DCNN:L22|TCN:L22,Shock,0.3426296103515105,0.2547450512647629,0.014972106163657082,0.19800625239849842,28
equal_weight,1DCNN+TCN,2,911,JP,core,expanding,1DCNN:L22|TCN:L22,Recovery,0.2145110431419958,0.17352978445234754,0.014582733074252745,0.167895616203808,105
equal_weight,1DCNN+TST,2,911,JP,core,expanding,1DCNN:L22|TST:L60,Full Test,0.22992147076905176,0.18430805801316397,0.013202266776186937,0.1674638713573983,133
equal_weight,1DCNN+TST,2,911,JP,core,expanding,1DCNN:L22|TST:L60,Shock,0.3057942762866309,0.23670421303860797,0.01295094884254046,0.17671904827579904,28
equal_weight,1DCNN+TST,2,911,JP,core,expanding,1DCNN:L22|TST:L60,Recovery,0.20499970960187835,0.17033575000637888,0.013269284891825998,0.16045119198094462,105
equal_weight,TCN+TST,2,911,JP,core,expanding,TCN:L22|TST:L60,Full Test,0.24033342580314554,0.19099900314033855,0.014452164044312606,0.17504744453382387,133
equal_weight,TCN+TST,2,911,JP,core,expanding,TCN:L22|TST:L60,Shock,0.3302496548080673,0.25749167274894713,0.018242753808122982,0.19085185438980803,28
equal_weight,TCN+TST,2,911,JP,core,expanding,TCN:L22|TST:L60,Recovery,0.20994977456586372,0.17326762457804287,0.013441340107296506,0.16432555758564246,105
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22,Full Test,0.2294475150004036,0.1788005150649183,0.013373329135403777,0.16711866450218593,133
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22,Shock,0.2997043847833168,0.2231806686946324,0.01283699494354386,0.1731996893014022,28
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22,Recovery,0.20671819910592662,0.16696580743032785,0.01351635158656642,0.16179623627328424,105
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TST:L60,Full Test,0.2185712817091544,0.17376755248461997,0.012467736792913665,0.15919693310995628,133
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TST:L60,Shock,0.2730446092253865,0.2038842069915408,0.01132503458117228,0.15779295827603856,28
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TST:L60,Recovery,0.20157401685460227,0.16573644461610776,0.012772457382711369,0.15776993703805525,105
equal_weight,LSTM+TCN+TST,3,911,JP,core,expanding,LSTM:L60|TCN:L22|TST:L60,Full Test,0.23386367193115665,0.18254789581105663,0.013511413837981255,0.17033518331477024,133
equal_weight,LSTM+TCN+TST,3,911,JP,core,expanding,LSTM:L60|TCN:L22|TST:L60,Shock,0.3213355709886862,0.24584871198390781,0.01619695514807134,0.18570038972558667,28
equal_weight,LSTM+TCN+TST,3,911,JP,core,expanding,LSTM:L60|TCN:L22|TST:L60,Recovery,0.2043079256421297,0.16566767816496303,0.012795269488623901,0.15990973969718025,105
equal_weight,1DCNN+TCN+TST,3,911,JP,core,expanding,1DCNN:L22|TCN:L22|TST:L60,Full Test,0.22769666225628166,0.17920241504278117,0.01331709201115275,0.16584342657974804,133
equal_weight,1DCNN+TCN+TST,3,911,JP,core,expanding,1DCNN:L22|TCN:L22|TST:L60,Shock,0.29195539940811727,0.21399690817235312,0.01276006360166849,0.1687215370703095,28
