model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
GARCH,normal,US,static,Full Test,0.38654665800547616,0.3085696672251197,0.13701984400996214,0.6606737647011828
GARCH,normal,US,expanding,Full Test,0.38102938767247574,0.3024273141053204,0.13312831787402093,0.6512438144318264
HAR_RV,normal,US,static,Full Test,0.25707493025398376,0.15737960644747087,0.05413131076635715,0.4393846343351061
HAR_RV,normal,US,expanding,Full Test,0.256396162152802,0.15631927848487912,0.05361908970007188,0.43822450458755957
GARCH,normal,KR,static,Full Test,0.36199087771519134,0.3254694239388276,0.12311343408857123,0.6809309719218716
GARCH,normal,KR,expanding,Full Test,0.3356655418172668,0.29463787893278226,0.10867608670296589,0.6314111147578269
HAR_RV,normal,KR,static,Full Test,0.15416827100693203,0.10326991833866325,0.029186016060507886,0.2900016466681785
HAR_RV,normal,KR,expanding,Full Test,0.1528721510782868,0.1008013015335152,0.028717018453415427,0.2875635515197309
GARCH,normal,JP,static,Full Test,0.6455533265378524,0.5697223289869715,0.20859044500472174,0.948588541536601
GARCH,normal,JP,expanding,Full Test,0.6440629515158757,0.5645683896803192,0.20533637905539814,0.9463985556588711
HAR_RV,normal,JP,static,Full Test,0.3130109119117327,0.17628396011098285,0.05397540276100603,0.4599442868767899
HAR_RV,normal,JP,expanding,Full Test,0.3125607579508269,0.17563972605174832,0.053849711941508574,0.45928282194168896
GARCH,911,US,static,Full Test,0.43618412373402043,0.3635071401152693,0.06398339316638044,0.4142302083998038
GARCH,911,US,static,Shock,0.6935781021603544,0.5865438327127417,0.0782168385252422,0.4401116825776387
GARCH,911,US,static,Recovery,0.3523734463704547,0.31281698270675296,0.060748519221184585,0.3772108601644466
GARCH,911,US,expanding,Full Test,0.44258356649304004,0.36796198824932813,0.0650606609277824,0.4203075559314342
GARCH,911,US,expanding,Shock,0.7029497568704407,0.5857198286681374,0.07886106762903221,0.4460584890153643
GARCH,911,US,expanding,Recovery,0.35790259952831877,0.31847156997232606,0.06192420485931654,0.38312974151076173
