regime,country,omega,alpha,beta,persistence,half_life,long_run_variance
normal,US,0.015269958455080564,0.08677453122638928,0.9029400012610784,0.9897145324874677,67.04375527563843,1.4846149128831394
normal,KR,0.01567887694082912,0.07830600489932234,0.9181079391540461,0.9964139440533685,192.9427801536582,4.37217856446347
normal,JP,0.04406394087161003,0.08605845580666034,0.8922730675824999,0.9783315233891603,31.640897166228,2.0335504734821526
911,US,0.07498168777971492,0.11704988976794796,0.8497609971107043,0.9668108868786522,20.536252453237665,2.259225412428557
911,KR,0.5292673059480795,0.13522562648185238,0.7875538227573119,0.9227794492391643,8.624985786590564,6.853969581067927
911,JP,0.0991733881007264,0.05460068513292507,0.8974880079736,0.952088693106525,14.117889110961878,2.069937025955615
gfc,US,0.010530297851999026,0.06636917471814183,0.9241339261090963,0.9905031008272381,72.6395594012714,1.1088143256486351
gfc,KR,0.020965902970445864,0.07423248716191097,0.9218832303712108,0.9961157175331218,178.10242265983675,5.397625726044601
gfc,JP,0.02225167177861955,0.067614077445088,0.9207358615981219,0.9883499390432099,59.15005028176303,1.9100047511468523
covid,US,0.019989743202969434,0.10984273770353031,0.8742298546464231,0.9840725923499534,43.171645107911374,1.2550531537949874
covid,KR,0.009893168287811987,0.07116657986010594,0.9248868351765311,0.9960534150366371,175.2853424933112,2.5067668325027186
covid,JP,0.045046832630251006,0.09750151853905852,0.8794952694348878,0.9769967879739463,29.78470799990957,1.9582844595454945
