model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_best_epoch,final_epochs,n_features,is_best_L
GroupNN,normal,US,extended,60,static,Full Test,0.18383051350428947,0.11753665865181924,0.03605401508149431,0.31419750998412926,0.027973857691724602,33,33,28,True
GroupNN,normal,KR,extended,22,static,Full Test,0.10526342764965567,0.07460527305885897,0.015715979116533628,0.198008106126807,0.012789902128996231,39,39,28,True
GroupNN,normal,JP,extended,252,static,Full Test,0.17081266211505505,0.10212414683136221,0.017485573372934306,0.25099542882862047,0.014545861621601774,33,33,28,True
GroupNN,911,US,extended,22,static,Full Test,0.2518286651032457,0.17973054183853998,0.02641618070615017,0.2391536845410919,0.015837729768492577,31,31,28,True
GroupNN,911,US,extended,22,static,Shock,0.4038342747514094,0.3206446647644043,0.029658201556440486,0.2562540269263685,0.015837729768492577,31,31,28,True
GroupNN,911,US,extended,22,static,Recovery,0.20190756886252406,0.14770460480993444,0.025679357785629645,0.2161392366216899,0.015837729768492577,31,31,28,True
GroupNN,911,KR,extended,60,static,Full Test,0.37086493482851446,0.27822648076450124,0.02914986613131248,0.26279269579380443,0.016301291514248275,30,30,28,True
GroupNN,911,KR,extended,60,static,Shock,0.5337351956091264,0.3970722534038402,0.04096894070420826,0.38970115738932676,0.016301291514248275,30,30,28,True
GroupNN,911,KR,extended,60,static,Recovery,0.3178767112938613,0.2487876196520044,0.026222205457292425,0.22361107271287325,0.016301291514248275,30,30,28,True
GroupNN,911,JP,extended,22,static,Full Test,0.23973116092687263,0.19085696227568433,0.015428451523368766,0.17460878342302855,0.011568467981376623,19,19,28,True
GroupNN,911,JP,extended,22,static,Shock,0.3285733785563174,0.27116080692836214,0.017366107644693294,0.1898831314056705,0.011568467981376623,19,19,28,True
GroupNN,911,JP,extended,22,static,Recovery,0.20977888366625844,0.1694426037016369,0.014911743224348895,0.1641918030130452,0.011568467981376623,19,19,28,True
GroupNN,gfc,US,extended,22,static,Full Test,0.5126021481180875,0.3316065068077103,0.039451901308662836,0.31712065715707377,0.02032835581506574,48,48,28,True
GroupNN,gfc,US,extended,22,static,Pre-Lehman,0.3447688307852429,0.2198668918424276,0.035305775693264846,0.3092598841227597,0.02032835581506574,48,48,28,True
GroupNN,gfc,US,extended,22,static,Lehman Crisis,0.8261319726423276,0.6139665951331457,0.05215715845029772,0.2921111501437719,0.02032835581506574,48,48,28,True
GroupNN,gfc,US,extended,22,static,Recovery,0.3770827281900666,0.3033452622592449,0.03506093496068089,0.2396782971830842,0.02032835581506574,48,48,28,True
GroupNN,gfc,KR,extended,22,static,Full Test,0.33499524292327365,0.20411823144926833,0.013975088613507203,0.2279421361222852,0.018233360927246565,60,60,28,True
GroupNN,gfc,KR,extended,22,static,Pre-Lehman,0.2030242264994835,0.1473185477473519,0.013952119127542377,0.1776819130631308,0.018233360927246565,60,60,28,True
GroupNN,gfc,KR,extended,22,static,Lehman Crisis,0.5590487562498889,0.35669049570115946,0.015338879646476688,0.2400742708552417,0.018233360927246565,60,60,28,True
GroupNN,gfc,KR,extended,22,static,Recovery,0.24664111060989724,0.17432305440306664,0.012042454447881299,0.1858961234994098,0.018233360927246565,60,60,28,True
GroupNN,gfc,JP,extended,60,static,Full Test,0.2988039296523053,0.19367397582938528,0.015532915869220322,0.21977986314714995,0.013753028091113399,37,37,28,True
GroupNN,gfc,JP,extended,60,static,Pre-Lehman,0.20371414205072533,0.14647268237620054,0.015159847347678607,0.1892326878248072,0.013753028091113399,37,37,28,True
GroupNN,gfc,JP,extended,60,static,Lehman Crisis,0.48581622441747224,0.32801564116227,0.017746297705644988,0.22836796956457475,0.013753028091113399,37,37,28,True
GroupNN,gfc,JP,extended,60,static,Recovery,0.20962182402823784,0.16458057892786992,0.013598038610968944,0.16890946175220187,0.013753028091113399,37,37,28,True
GroupNN,covid,US,extended,252,static,Full Test,0.3648025992495587,0.21961098290499179,0.034726020918130256,0.3181922375656425,0.017204664591991534,23,23,28,True
GroupNN,covid,US,extended,252,static,Pre-crash,0.10635390082120556,0.0885877502816064,0.02636931248964025,0.22077933505519592,0.017204664591991534,23,23,28,True
GroupNN,covid,US,extended,252,static,Crash,0.8821869726518782,0.6045618511381603,0.03975806255194718,0.24560989616861698,0.017204664591991534,23,23,28,True
GroupNN,covid,US,extended,252,static,Recovery,0.2910545745934767,0.20139142513896027,0.03569899967170836,0.2909942718554491,0.017204664591991534,23,23,28,True
GroupNN,covid,KR,extended,22,static,Full Test,0.28139486692735455,0.18541633614128636,0.02727327990999308,0.27593801957689607,0.012361377563855969,10,10,28,True
GroupNN,covid,KR,extended,22,static,Pre-crash,0.1357961258339355,0.09645629269736154,0.011291070058096325,0.17417103549386218,0.012361377563855969,10,10,28,True
GroupNN,covid,KR,extended,22,static,Crash,0.4474474481698527,0.29737337714149836,0.01700649926952807,0.22773339574333623,0.012361377563855969,10,10,28,True
GroupNN,covid,KR,extended,22,static,Recovery,0.2775224040500781,0.1893877093680203,0.03130963271346262,0.28903039800974095,0.012361377563855969,10,10,28,True
GroupNN,covid,JP,extended,22,static,Full Test,0.2109002010172959,0.1506903756942068,0.023886610914658577,0.24230789533506977,0.018913489555636445,27,27,28,True
GroupNN,covid,JP,extended,22,static,Pre-crash,0.12879661348519345,0.1054359958930449,0.026226978714514675,0.23998425681021537,0.018913489555636445,27,27,28,True
GroupNN,covid,JP,extended,22,static,Crash,0.3469277775093486,0.2769609438745599,0.018708637353184912,0.15156157804989562,0.018913489555636445,27,27,28,True
GroupNN,covid,JP,extended,22,static,Recovery,0.20414699866877217,0.14582077213512953,0.0240003171526841,0.26016931709110935,0.018913489555636445,27,27,28,True
