model,regime,country,feature_set,L,protocol,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,epochs_used,n_features,is_best_L
GroupNN,normal,US,extended,22,static,0.02963887600586323,0.029623356331213425,17,27,28,False
GroupNN,normal,US,extended,60,static,0.027973857691724602,0.02877543735954719,33,43,28,True
GroupNN,normal,US,extended,252,static,0.02870318792488748,0.029089372380537243,39,49,28,False
GroupNN,normal,KR,extended,22,static,0.012789902128996231,0.010128092127623127,39,49,28,True
GroupNN,normal,KR,extended,60,static,0.021092126582646826,0.016381872634662956,2,12,28,False
GroupNN,normal,KR,extended,252,static,0.021089851247308476,0.01652554520329491,2,12,28,False
GroupNN,normal,JP,extended,22,static,0.019111671999900243,0.052323684096336365,5,15,28,False
GroupNN,normal,JP,extended,60,static,0.016678079633698762,0.0377448491887887,11,21,28,False
GroupNN,normal,JP,extended,252,static,0.014545861621601774,0.036281606174914945,33,43,28,True
GroupNN,911,US,extended,22,static,0.015837729768492577,0.02624250389635563,31,41,28,True
GroupNN,911,US,extended,60,static,0.018846629364458255,0.03052191250026226,21,31,28,False
GroupNN,911,US,extended,252,static,0.020151161184883627,0.03497243672609329,25,35,28,False
GroupNN,911,KR,extended,22,static,0.018016525568373715,0.04433551803231239,36,46,28,False
GroupNN,911,KR,extended,60,static,0.016301291514248275,0.040021058171987534,30,40,28,True
GroupNN,911,KR,extended,252,static,0.020741700972624868,0.04927658662199974,31,41,28,False
GroupNN,911,JP,extended,22,static,0.011568467981376623,0.033145561814308167,19,29,28,True
GroupNN,911,JP,extended,60,static,0.015523997816543966,0.04240734130144119,17,27,28,False
GroupNN,911,JP,extended,252,static,0.015288009456226366,0.04378150776028633,17,27,28,False
GroupNN,gfc,US,extended,22,static,0.02032835581506574,0.018024421130043575,48,58,28,True
GroupNN,gfc,US,extended,60,static,0.024948728310062392,0.018123386182870523,13,23,28,False
GroupNN,gfc,US,extended,252,static,0.02221800344324555,0.01624583639946592,19,29,28,False
GroupNN,gfc,KR,extended,22,static,0.018233360927246565,0.022932922647845362,60,70,28,True
GroupNN,gfc,KR,extended,60,static,0.019749679308905574,0.022450927164285414,10,20,28,False
GroupNN,gfc,KR,extended,252,static,0.01997181089324025,0.021904939605343725,6,16,28,False
GroupNN,gfc,JP,extended,22,static,0.014783150933226593,0.01641725404904439,19,29,28,False
GroupNN,gfc,JP,extended,60,static,0.013753028091113399,0.015269875171997769,37,47,28,True
GroupNN,gfc,JP,extended,252,static,0.01721380835927064,0.017505722173191757,24,34,28,False
GroupNN,covid,US,extended,22,static,0.019994871049334284,0.012021175862465757,19,29,28,False
GroupNN,covid,US,extended,60,static,0.017769008867003732,0.011956693353991672,37,47,28,False
GroupNN,covid,US,extended,252,static,0.017204664591991534,0.011069841630547401,23,33,28,True
GroupNN,covid,KR,extended,22,static,0.012361377563855969,0.009933212247430061,10,20,28,True
GroupNN,covid,KR,extended,60,static,0.012776640761674335,0.010159112687925903,11,21,28,False
GroupNN,covid,KR,extended,252,static,0.0142957199869499,0.011140390607167263,13,23,28,False
GroupNN,covid,JP,extended,22,static,0.018913489555636445,0.010742709254962879,27,37,28,True
GroupNN,covid,JP,extended,60,static,0.02080126883533235,0.011469286648268231,19,29,28,False
GroupNN,covid,JP,extended,252,static,0.02082883788466393,0.011504114800323751,15,25,28,False
