regime,country,const,RV_d,RV_w,RV_m
normal,US,0.05043250994601267,0.34030654639821545,0.42252224508315644,0.18405874983611217
normal,KR,0.05973534377506354,0.39937894330306983,0.39385914585869386,0.15037886969965214
normal,JP,0.07540090920348481,0.429871778479382,0.3235753829332319,0.16875806437512614
911,US,0.19184632586083772,0.35527845783467016,0.2370877979104668,0.2378321227313989
911,KR,0.18037102080163303,0.38473032483112185,0.36377457957316706,0.14072597751904886
911,JP,0.288047750474022,0.25955238264782166,0.42432823940798414,0.07455268044034216
gfc,US,0.0516863005239557,0.28680874735176587,0.43261258620926263,0.22143676438768647
gfc,KR,0.07945720783904557,0.3150204424904386,0.4339326175351832,0.1834781221595454
gfc,JP,0.07363035699855797,0.30037738413278325,0.41674264745298517,0.20627668342112776
covid,US,0.04453694215966601,0.37789402058222027,0.3856090730480881,0.18339914098366375
covid,KR,0.03949636227592947,0.39192633076549127,0.3926572943050078,0.17121602720041965
covid,JP,0.06752638643922845,0.40056602098156047,0.32210929964086454,0.2004562545628665
