model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Ridge,normal,US,core,static,Full Test,0.1655941018922459,0.09698743876999627,0.025529452202996152,0.2830283911235147,0.03084979698402866,10
Ridge,normal,US,core,expanding,Full Test,0.16405413396226978,0.0952672734543597,0.02262561676926786,0.2803963248806809,0.03084979698402866,10
ElasticNet,normal,US,core,static,Full Test,0.163933853922783,0.09565718014710572,0.022794866613413862,0.28019074590370524,0.02973284196472533,10
ElasticNet,normal,US,core,expanding,Full Test,0.16288919690549467,0.09428953616522924,0.02075143217062139,0.278405249974198,0.02973284196472533,10
Huber,normal,US,core,static,Full Test,0.1651375211917145,0.09322075233122777,0.021939554508107015,0.2822480173081867,0.028991910930814543,10
Huber,normal,US,core,expanding,Full Test,0.16349591816751405,0.09156140832035468,0.019900364420008247,0.27944223946046315,0.028991910930814543,10
LightGBM,normal,US,core,static,Full Test,0.18202053616477545,0.10605628246102222,0.023843084031133943,0.31110395185257644,0.026165563888025344,10
LightGBM,normal,US,core,expanding,Full Test,0.17998877812566152,0.09832810373507739,0.01945161441546482,0.3076313329465186,0.026165563888025344,10
XGBoost,normal,US,core,static,Full Test,0.1699877107569417,0.10012689639011622,0.022771260550575764,0.29053781346399166,0.027388039345680345,10
XGBoost,normal,US,core,expanding,Full Test,0.1695321524142294,0.09423440716463445,0.01887940005396894,0.2897591870314835,0.027388039345680345,10
Ridge,normal,KR,core,static,Full Test,0.11086912978180476,0.08051249486101698,0.019973399235058465,0.2085528364000766,0.01568449235139378,10
Ridge,normal,KR,core,expanding,Full Test,0.10873230318156231,0.07857510047628848,0.017961773174280753,0.20453331131448482,0.01568449235139378,10
ElasticNet,normal,KR,core,static,Full Test,0.10748477244001729,0.07710305034674897,0.016298648174086623,0.2021866159344675,0.014411817877495105,10
ElasticNet,normal,KR,core,expanding,Full Test,0.10662584175683816,0.07637140739102576,0.01561675223722256,0.20057090531600583,0.014411817877495105,10
Huber,normal,KR,core,static,Full Test,0.10887054330185039,0.07894212923275631,0.019137978788779965,0.20479335095984966,0.015646917780435154,10
Huber,normal,KR,core,expanding,Full Test,0.10630454490542131,0.07643137189561744,0.016959910921721354,0.19996652274512003,0.015646917780435154,10
LightGBM,normal,KR,core,static,Full Test,0.10779615510673116,0.08138941092752289,0.016772503110239395,0.20277234920825432,0.014612558862783355,10
LightGBM,normal,KR,core,expanding,Full Test,0.10100327011646887,0.07368008040779261,0.014319427824664603,0.18999444218538164,0.014612558862783355,10
XGBoost,normal,KR,core,static,Full Test,0.10781764492530342,0.08270805815684008,0.0173467654975773,0.2028127731082686,0.014496103047867885,10
XGBoost,normal,KR,core,expanding,Full Test,0.10169002787035217,0.07443626041879983,0.014466969382569379,0.19128628309523618,0.014496103047867885,10
Ridge,normal,JP,core,static,Full Test,0.16810744646752704,0.10447346458665145,0.017063676061194875,0.24702033265213666,0.01475705779742684,10
Ridge,normal,JP,core,expanding,Full Test,0.1660391529661555,0.103002994195126,0.01650284892975416,0.24398114218516506,0.01475705779742684,10
ElasticNet,normal,JP,core,static,Full Test,0.16828117528518247,0.10456317580718376,0.01698158848521324,0.24727561313631674,0.014687582194150416,10
ElasticNet,normal,JP,core,expanding,Full Test,0.16604936601898965,0.103000531375837,0.016411885208448964,0.2439961494424966,0.014687582194150416,10
Huber,normal,JP,core,static,Full Test,0.1690923836684097,0.10296284639776762,0.016781201616486875,0.24846761842154189,0.014703795043573309,10
Huber,normal,JP,core,expanding,Full Test,0.1674373316839262,0.10162575201969894,0.0163107437930915,0.2460356530306294,0.014703795043573309,10
LightGBM,normal,JP,core,static,Full Test,0.1792394647241865,0.1107540680163783,0.018140398786320115,0.2633779355461932,0.013790844433534897,10
LightGBM,normal,JP,core,expanding,Full Test,0.1692094715201226,0.10459058594328306,0.016434578500298298,0.24863966957505954,0.013790844433534897,10
XGBoost,normal,JP,core,static,Full Test,0.18312311048499816,0.11618253933231482,0.020604123562561007,0.2690846397279385,0.013855549392818875,10
XGBoost,normal,JP,core,expanding,Full Test,0.16995182911398535,0.10721194011775735,0.017693783699406957,0.249730504178976,0.013855549392818875,10
Ridge,911,US,core,static,Full Test,0.24282107379974308,0.16498585928184883,0.02157659579325323,0.23059946139916468,0.01306617693867562,10
Ridge,911,US,core,static,Shock,0.4180523098572269,0.2929561768848231,0.024478164481519037,0.2652761165954376,0.01306617693867562,10
Ridge,911,US,core,static,Recovery,0.1806726479662764,0.1359016961902638,0.020917148364101915,0.19340754999994705,0.01306617693867562,10
Ridge,911,US,core,expanding,Full Test,0.24325304870897194,0.16643945669847723,0.021870608540077323,0.23100969425024037,0.01306617693867562,10
Ridge,911,US,core,expanding,Shock,0.41568850051590744,0.2898564139572353,0.024146491983089415,0.26377615559139145,0.01306617693867562,10
Ridge,911,US,core,expanding,Recovery,0.18261491858327034,0.13839014823057771,0.02135336230302913,0.1954867236086706,0.01306617693867562,10
ElasticNet,911,US,core,static,Full Test,0.2463882381086791,0.1665217543810897,0.022310717226406027,0.23398708404447663,0.013805994210398274,10
ElasticNet,911,US,core,static,Shock,0.4214909642794402,0.28826913054316206,0.025266046530160916,0.26745812317674317,0.013805994210398274,10
ElasticNet,911,US,core,static,Recovery,0.18473817588783406,0.13885189616243687,0.021639051475552642,0.19775964094241008,0.013805994210398274,10
ElasticNet,911,US,core,expanding,Full Test,0.24656382593333714,0.16757282543424643,0.022404447231748992,0.2341538342246022,0.013805994210398274,10
ElasticNet,911,US,core,expanding,Shock,0.4196165776215635,0.2860012982144765,0.02498969733951525,0.26626872653456307,0.013805994210398274,10
ElasticNet,911,US,core,expanding,Recovery,0.18599121263647794,0.14065726343873958,0.02181689038907484,0.1991009993070716,0.013805994210398274,10
Huber,911,US,core,static,Full Test,0.2451876751292955,0.16564035400242794,0.021671676013106253,0.23284694751477017,0.0122651794758058,10
Huber,911,US,core,static,Shock,0.42791513601473297,0.2969844732600693,0.025189988872312555,0.2715345970774917,0.0122651794758058,10
Huber,911,US,core,static,Recovery,0.1793424954459034,0.13578941780750944,0.02087205945419573,0.19198364027710055,0.0122651794758058,10
Huber,911,US,core,expanding,Full Test,0.2453372361794425,0.16616513469075223,0.02184075248688123,0.23298898089379488,0.0122651794758058,10
Huber,911,US,core,expanding,Shock,0.4255145723520121,0.29570471545367805,0.02496622360765709,0.27001131352882723,0.0122651794758058,10
Huber,911,US,core,expanding,Recovery,0.1808850022549416,0.13672432088099637,0.021130418141250353,0.19363487230448528,0.0122651794758058,10
LightGBM,911,US,core,static,Full Test,0.2996890943569242,0.19354534412772234,0.027753009155602703,0.28460521430238106,0.016557243990755015,10
LightGBM,911,US,core,static,Shock,0.5470421324900032,0.3505620750538996,0.041120398608538763,0.3471269243090543,0.016557243990755015,10
LightGBM,911,US,core,static,Recovery,0.20545851880264956,0.15785972346268215,0.02471496609811723,0.21994047906828534,0.016557243990755015,10
LightGBM,911,US,core,expanding,Full Test,0.2917093975886814,0.18340630773223995,0.02575890590731556,0.2770271497296043,0.016557243990755015,10
LightGBM,911,US,core,expanding,Shock,0.537828844510008,0.3456264433927174,0.03838574282343866,0.3412806098675834,0.016557243990755015,10
LightGBM,911,US,core,expanding,Recovery,0.1967056790078929,0.14653809508213148,0.022889170244560306,0.21057068613448218,0.016557243990755015,10
XGBoost,911,US,core,static,Full Test,0.25529430577223167,0.17183770964070366,0.023908732128301257,0.2424448936334972,0.016383857505787407,10
XGBoost,911,US,core,static,Shock,0.41234077918950135,0.273411517160161,0.023902912848385097,0.26165185082863096,0.016383857505787407,10
XGBoost,911,US,core,static,Recovery,0.2033364138340437,0.14875275338628158,0.02391005469191857,0.21766879529411837,0.016383857505787407,10
XGBoost,911,US,core,expanding,Full Test,0.24230519616571553,0.16258845606168162,0.022358724760031562,0.23010954879523338,0.016383857505787407,10
XGBoost,911,US,core,expanding,Shock,0.39485598116639314,0.24601974498170548,0.021552519774223632,0.2505568294409731,0.016383857505787407,10
XGBoost,911,US,core,expanding,Recovery,0.19136621116759395,0.14362679948894894,0.022541953165896998,0.20485486027528246,0.016383857505787407,10
Ridge,911,KR,core,static,Full Test,0.4623278534480474,0.20808387915085347,0.07040258971357904,0.32760277813380045,0.012823848635599086,10
Ridge,911,KR,core,static,Shock,0.9232306584187214,0.3168647689908176,0.30631174114014537,0.6740871889101467,0.012823848635599086,10
Ridge,911,KR,core,static,Recovery,0.235711242266371,0.18113815414462386,0.011966377892319517,0.1658115924063102,0.012823848635599086,10
Ridge,911,KR,core,expanding,Full Test,0.47006457401006957,0.21634726523263878,0.0731177952588664,0.3330849724918961,0.012823848635599086,10
Ridge,911,KR,core,expanding,Shock,0.9252847154746039,0.3151884612133841,0.3145218677529496,0.6755869371410302,0.012823848635599086,10
Ridge,911,KR,core,expanding,Recovery,0.2522296351038853,0.19186366622823395,0.013320456200698971,0.17743149222121182,0.012823848635599086,10
ElasticNet,911,KR,core,static,Full Test,0.46307285325669284,0.208115059902042,0.07209088473582125,0.328130680584845,0.012815690125366168,10
ElasticNet,911,KR,core,static,Shock,0.9250156057943569,0.31726641291651014,0.31482913028963966,0.675390449528523,0.012815690125366168,10
ElasticNet,911,KR,core,static,Recovery,0.23580245685012183,0.18107756878836634,0.011963062442673575,0.16587575750610342,0.012815690125366168,10
ElasticNet,911,KR,core,expanding,Full Test,0.4708143187771302,0.2167456986556993,0.07595972241989171,0.33361623719236466,0.012815690125366168,10
ElasticNet,911,KR,core,expanding,Shock,0.9287914004947854,0.3176886333089996,0.328979605633932,0.6781473064551257,0.012815690125366168,10
ElasticNet,911,KR,core,expanding,Recovery,0.2507776734576234,0.19174148548469822,0.01328507244944138,0.17641010660394243,0.012815690125366168,10
Huber,911,KR,core,static,Full Test,0.4838895907309814,0.20526257113116803,0.23046212104587416,0.34288129744125573,0.012101936280786579,10
Huber,911,KR,core,static,Shock,0.9781170948896244,0.3237887191574606,1.1117904360034874,0.7141619452373854,0.012101936280786579,10
Huber,911,KR,core,static,Recovery,0.23487318680487657,0.1759028830879579,0.012151437524263545,0.16522206044653137,0.012101936280786579,10
Huber,911,KR,core,expanding,Full Test,0.4873013526491771,0.20617657683218618,0.28022192655249506,0.3452988517252907,0.012101936280786579,10
Huber,911,KR,core,expanding,Shock,0.9818060017995964,0.32166928892252317,1.360869070399483,0.7168553619544529,0.012101936280786579,10
Huber,911,KR,core,expanding,Recovery,0.2398098070616953,0.1775682903510935,0.012538689085810026,0.16869473683658384,0.012101936280786579,10
LightGBM,911,KR,core,static,Full Test,0.3718145843606182,0.214951094528511,0.01847780595764404,0.2634656118569559,0.016761174991970426,10
