model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Ridge,normal,US,extended,static,Full Test,0.163340631530444,0.09780811835878331,0.031647102642168266,0.2791768282740097,0.02841974504666368,28
Ridge,normal,US,extended,expanding,Full Test,0.16173987847372764,0.09472215650099705,0.024334951047402926,0.27644086994547395,0.02841974504666368,28
ElasticNet,normal,US,extended,static,Full Test,0.1621739516862932,0.09462293279886479,0.0212573550918769,0.2771827746484699,0.027658730841027532,28
ElasticNet,normal,US,extended,expanding,Full Test,0.16104852246368462,0.09321462849547864,0.02043147391303993,0.275259225327821,0.027658730841027532,28
Huber,normal,US,extended,static,Full Test,0.16605860914507692,0.0978805810640625,0.03443335687806536,0.28382231276040676,0.02719348872253397,28
Huber,normal,US,extended,expanding,Full Test,0.16166752542261947,0.09120918202611987,0.021919875389159765,0.27631720631606915,0.02719348872253397,28
LightGBM,normal,US,extended,static,Full Test,0.17001181041466143,0.10739858209483548,0.026179398234312996,0.29057900386433266,0.025277618139145752,28
LightGBM,normal,US,extended,expanding,Full Test,0.15848098020785434,0.09037434091989424,0.018072211783329822,0.27087086037094504,0.025277618139145752,28
XGBoost,normal,US,extended,static,Full Test,0.16618811494381774,0.10395896866930321,0.02554893094343313,0.28404366012386917,0.026885010995069316,28
XGBoost,normal,US,extended,expanding,Full Test,0.15352031691006485,0.08962603713627862,0.018013855809510686,0.26239224587903254,0.026885010995069316,28
Ridge,normal,KR,extended,static,Full Test,0.1089363532225838,0.07872915454378866,0.017512614772565143,0.20491714417135248,0.014411739143246945,28
Ridge,normal,KR,extended,expanding,Full Test,0.1074925983713923,0.07753202396272675,0.016524715178565828,0.2022013370763123,0.014411739143246945,28
ElasticNet,normal,KR,extended,static,Full Test,0.10841362886153852,0.07836318295257903,0.01720020531861991,0.20393386191446133,0.014337780416494774,28
ElasticNet,normal,KR,extended,expanding,Full Test,0.10725350649929788,0.07724257570148978,0.016290091156934777,0.20175158800564105,0.014337780416494774,28
Huber,normal,KR,extended,static,Full Test,0.10602435358919339,0.07634778483555679,0.016935702049595616,0.199439462653199,0.014118183660175984,28
Huber,normal,KR,extended,expanding,Full Test,0.10430997974004347,0.07487457176344794,0.015681339449790103,0.1962146016878971,0.014118183660175984,28
LightGBM,normal,KR,extended,static,Full Test,0.105345179112749,0.08056406278929083,0.017010138061883298,0.1981618864356191,0.014495371036965594,28
LightGBM,normal,KR,extended,expanding,Full Test,0.09961808376169759,0.07270879614247011,0.01408609208809272,0.18738880665997643,0.014495371036965594,28
XGBoost,normal,KR,extended,static,Full Test,0.10641930547707287,0.08311948041105556,0.017716053476768537,0.20018239566458762,0.01476771351688509,28
XGBoost,normal,KR,extended,expanding,Full Test,0.09900009588232808,0.07334902319818024,0.01416025026350425,0.18622632684835502,0.01476771351688509,28
Ridge,normal,JP,extended,static,Full Test,0.16717168572678753,0.10383266834442256,0.016839586150849382,0.24564530772422585,0.014901512140821764,28
Ridge,normal,JP,extended,expanding,Full Test,0.1651175299831452,0.10206445011779992,0.016368711620936945,0.24262689155185335,0.014901512140821764,28
ElasticNet,normal,JP,extended,static,Full Test,0.16840570246485104,0.10465244688993373,0.016828271348336848,0.247458595782192,0.014566044096056087,28
ElasticNet,normal,JP,extended,expanding,Full Test,0.1658145486294645,0.10246713085671945,0.01615997065058033,0.24365110422949815,0.014566044096056087,28
Huber,normal,JP,extended,static,Full Test,0.1685303645644227,0.10356454742473224,0.016729150104447272,0.2476417766819819,0.014998957477990411,28
Huber,normal,JP,extended,expanding,Full Test,0.16734179869988045,0.10163541451536404,0.016474254081784403,0.24589527501648362,0.014998957477990411,28
LightGBM,normal,JP,extended,static,Full Test,0.17476868300556336,0.11390845249239119,0.019808608989405372,0.2568084824341759,0.013779147894330213,28
LightGBM,normal,JP,extended,expanding,Full Test,0.16345010500771762,0.09936909535856542,0.015184565098857454,0.2401767450487824,0.013779147894330213,28
XGBoost,normal,JP,extended,static,Full Test,0.17611766794189238,0.11347967095694286,0.020430753077691887,0.2587907069858949,0.013626449193635197,28
XGBoost,normal,JP,extended,expanding,Full Test,0.16140213848618418,0.10096660681281157,0.016635270731761843,0.23716742343906208,0.013626449193635197,28
Ridge,911,US,extended,static,Full Test,0.24828958295986214,0.17492122572501095,0.02462289294329952,0.2357927308598699,0.013992132923153853,28
Ridge,911,US,extended,static,Shock,0.41283996364988096,0.3146792097021728,0.027972182770365325,0.26196860954994866,0.013992132923153853,28
Ridge,911,US,extended,static,Recovery,0.19215336928895507,0.14315804754838327,0.02386169070987547,0.20569750206654813,0.013992132923153853,28
Ridge,911,US,extended,expanding,Full Test,0.24624257355973478,0.1736443436114966,0.022967863852941042,0.23384875104888492,0.013992132923153853,28
Ridge,911,US,extended,expanding,Shock,0.41474895416408475,0.31453060134600946,0.02782961890492298,0.26317996415387,0.013992132923153853,28
Ridge,911,US,extended,expanding,Recovery,0.18794008486733058,0.14162473958092553,0.021862919522945147,0.20118723985136525,0.013992132923153853,28
ElasticNet,911,US,extended,static,Full Test,0.24251046289492284,0.16844083693471107,0.02248134019035792,0.2303044840883596,0.012563694734765117,28
ElasticNet,911,US,extended,static,Shock,0.4093312404431442,0.30960935466141654,0.026913133022716834,0.2597421406498981,0.012563694734765117,28
ElasticNet,911,US,extended,static,Recovery,0.18465513834161576,0.13635708290591436,0.02147411454663998,0.19767075040721913,0.012563694734765117,28
ElasticNet,911,US,extended,expanding,Full Test,0.2437839654226476,0.17054616212194318,0.022291951126691627,0.23151388899044809,0.012563694734765117,28
ElasticNet,911,US,extended,expanding,Shock,0.41102409736804696,0.31004867828979,0.026819286419717637,0.260816347155642,0.012563694734765117,28
ElasticNet,911,US,extended,expanding,Recovery,0.18585462860649235,0.1388410448110689,0.021263011287367534,0.19895478800776323,0.012563694734765117,28
Huber,911,US,extended,static,Full Test,0.25131725612869393,0.1767172500349697,0.024620016779323888,0.2386680159045325,0.013197672705200728,28
Huber,911,US,extended,static,Shock,0.42481613297998144,0.32613744265554984,0.028981606720201444,0.2695681171155532,0.013197672705200728,28
Huber,911,US,extended,static,Recovery,0.19104807497747464,0.14275811534847416,0.023628746338215358,0.20451429992046452,0.013197672705200728,28
Huber,911,US,extended,expanding,Full Test,0.2466086701513956,0.1752067883222416,0.022481929680168787,0.2341964213541677,0.013197672705200728,28
Huber,911,US,extended,expanding,Shock,0.42238020170396456,0.3249495639694324,0.028202146475515742,0.2680223909612932,0.013197672705200728,28
Huber,911,US,extended,expanding,Recovery,0.18463753229162103,0.14117433931151638,0.021181880408499016,0.19765190337623248,0.013197672705200728,28
LightGBM,911,US,extended,static,Full Test,0.2779248808773759,0.18242619138191776,0.025480372174669516,0.2639364320273329,0.016626063351702396,28
LightGBM,911,US,extended,static,Shock,0.4874604910166016,0.32036139521484164,0.0332955414631812,0.3093192478586035,0.016626063351702396,28
LightGBM,911,US,extended,static,Recovery,0.20197342450952044,0.15107728141988963,0.023704197336371396,0.2162097342303688,0.016626063351702396,28
LightGBM,911,US,extended,expanding,Full Test,0.2783595177195843,0.1846124829161651,0.02525721250000611,0.264349192831612,0.016626063351702396,28
LightGBM,911,US,extended,expanding,Shock,0.4930252282833457,0.33423519539084284,0.034204049267284244,0.3128503655134729,0.016626063351702396,28
LightGBM,911,US,extended,expanding,Recovery,0.19962455569688392,0.15060732099010193,0.023223840507442896,0.2136953029235995,0.016626063351702396,28
XGBoost,911,US,extended,static,Full Test,0.2504776086418671,0.17474977965332864,0.023407602720144603,0.23787062935484976,0.016908295937627597,28
XGBoost,911,US,extended,static,Shock,0.4202451284912917,0.3107906390969703,0.02940949964640259,0.2666675750276168,0.016908295937627597,28
XGBoost,911,US,extended,static,Recovery,0.19199006076692116,0.14383140250704649,0.02204353523690415,0.2055226825711999,0.016908295937627597,28
XGBoost,911,US,extended,expanding,Full Test,0.2410064321472751,0.16793823158185617,0.022319251283207282,0.22887615385775784,0.016908295937627597,28
XGBoost,911,US,extended,expanding,Shock,0.3949000182482765,0.2837810103038337,0.02529343364063841,0.25058477327908313,0.016908295937627597,28
XGBoost,911,US,extended,expanding,Recovery,0.1893218264105343,0.14161032732686127,0.021643300747427482,0.20266637490369513,0.016908295937627597,28
Ridge,911,KR,extended,static,Full Test,0.5327654671703852,0.31388692918042954,0.09740912083905058,0.3775144539466583,0.014746461675769467,28
Ridge,911,KR,extended,static,Shock,0.9228783600015578,0.3196311836488792,0.31170985271207596,0.6738299619132767,0.014746461675769467,28
Ridge,911,KR,extended,static,Recovery,0.3783848973672672,0.31246404045888704,0.044325453310870004,0.26617568925313856,0.014746461675769467,28
Ridge,911,KR,extended,expanding,Full Test,0.479277124206893,0.2160680088019644,0.07839690402086333,0.3396129309864314,0.014746461675769467,28
Ridge,911,KR,extended,expanding,Shock,0.9247590572106188,0.30912423511044446,0.32919615623326015,0.6752031332689794,0.014746461675769467,28
Ridge,911,KR,extended,expanding,Recovery,0.2734464194209166,0.19301738393656115,0.016272318610453106,0.19235648586819537,0.014746461675769467,28
ElasticNet,911,KR,extended,static,Full Test,0.5077818127610707,0.2730646730937414,0.09516656897203746,0.35981118443480753,0.014675516193877185,28
ElasticNet,911,KR,extended,static,Shock,0.9294775842282517,0.3117324413145682,0.35806818807924085,0.6786483163162588,0.014675516193877185,28
ElasticNet,911,KR,extended,static,Recovery,0.32819342285407954,0.26348641858032557,0.030044149560161378,0.2308683859856621,0.014675516193877185,28
ElasticNet,911,KR,extended,expanding,Full Test,0.477325342904933,0.20821420840477667,0.08511302062502776,0.33822991031816974,0.014675516193877185,28
ElasticNet,911,KR,extended,expanding,Shock,0.9311472434657225,0.3050360546961153,0.3699993454535722,0.6798674005088833,0.014675516193877185,28
ElasticNet,911,KR,extended,expanding,Recovery,0.2636410470090219,0.18423081528673857,0.014544848419791954,0.18545887505370637,0.014675516193877185,28
Huber,911,KR,extended,static,Full Test,0.5061034709729344,0.25688426372816925,0.19800049867508382,0.358621921386192,0.01676558481556219,28
Huber,911,KR,extended,static,Shock,0.9833668656687646,0.375539766273112,0.9018253422754121,0.7179950103491901,0.01676558481556219,28
Huber,911,KR,extended,static,Recovery,0.2829376981965842,0.2274925337399724,0.023658564939222745,0.19903314682264908,0.01676558481556219,28
Huber,911,KR,extended,expanding,Full Test,0.48551557967674686,0.2109366326472413,0.19704245463964867,0.34403346357590425,0.01676558481556219,28
Huber,911,KR,extended,expanding,Shock,0.9782968856608676,0.33781116723396876,0.9399718692505288,0.7142932175846305,0.01676558481556219,28
Huber,911,KR,extended,expanding,Recovery,0.23884089205981054,0.17950899563951986,0.013014067534201298,0.1680131514449659,0.01676558481556219,28
LightGBM,911,KR,extended,static,Full Test,0.3603358565556407,0.2005305560668896,0.017630682561282713,0.25533185333406627,0.018548049403685322,28
LightGBM,911,KR,extended,static,Shock,0.6609165404338987,0.29580302478628345,0.041548067209134,0.4825612849646587,0.018548049403685322,28
LightGBM,911,KR,extended,static,Recovery,0.23195646207185874,0.17693095372355347,0.011706192786126888,0.1631702840104884,0.018548049403685322,28
LightGBM,911,KR,extended,expanding,Full Test,0.3845195806015764,0.21888577652315855,0.020268189015657526,0.27246829692919566,0.018548049403685322,28
LightGBM,911,KR,extended,expanding,Shock,0.6826571775107281,0.317420550893961,0.04376131319444981,0.49843498326377755,0.018548049403685322,28
LightGBM,911,KR,extended,expanding,Recovery,0.262761615820388,0.19447808011938186,0.014448791283296134,0.18484023724756227,0.018548049403685322,28
XGBoost,911,KR,extended,static,Full Test,0.36097916726825985,0.20338277046009492,0.017647106713681093,0.25578769949407043,0.018656403817225792,28
XGBoost,911,KR,extended,static,Shock,0.6603578789111584,0.3022626451480371,0.03958291598683615,0.4821533841091333,0.018656403817225792,28
XGBoost,911,KR,extended,static,Recovery,0.2335928432387609,0.1788895904915221,0.012213465884550941,0.1643213999456423,0.018656403817225792,28
XGBoost,911,KR,extended,expanding,Full Test,0.37686915169835244,0.21298211560823174,0.019078184810362418,0.26704724832933463,0.018656403817225792,28
XGBoost,911,KR,extended,expanding,Shock,0.676636312396793,0.30832978516609233,0.04269506826788715,0.4940389117052235,0.018656403817225792,28
XGBoost,911,KR,extended,expanding,Recovery,0.25259275234202694,0.18936388553426628,0.01322813110987464,0.17768692784196344,0.018656403817225792,28
Ridge,911,JP,extended,static,Full Test,0.23174654415103815,0.18564879480648735,0.013993081659349293,0.16879316822328164,0.01214472244843384,28
Ridge,911,JP,extended,static,Shock,0.3065932692285869,0.24068199397793058,0.015067484651940117,0.17718078729059736,0.01214472244843384,28
Ridge,911,JP,extended,static,Recovery,0.20727196672454953,0.17097327502743584,0.013706574194658407,0.16222966490955198,0.01214472244843384,28
Ridge,911,JP,extended,expanding,Full Test,0.22527041840996512,0.18012956865090313,0.012987900370968503,0.16407626603320785,0.01214472244843384,28
Ridge,911,JP,extended,expanding,Shock,0.30034335519794036,0.23658012097653236,0.014737948509667587,0.17356895102545455,0.01214472244843384,28
Ridge,911,JP,extended,expanding,Recovery,0.2005598734800807,0.1650760880307353,0.012521220867315414,0.15697617764304228,0.01214472244843384,28
ElasticNet,911,JP,extended,static,Full Test,0.22045298873666858,0.17647305166024882,0.012504032564963368,0.160567479223776,0.011296682470111367,28
ElasticNet,911,JP,extended,static,Shock,0.29190672673843576,0.22700212508988107,0.014286844128167506,0.16869340866180663,0.011296682470111367,28
ElasticNet,911,JP,extended,static,Recovery,0.19707067026070846,0.16299863207901358,0.012028616148108932,0.1542452136925128,0.011296682470111367,28
ElasticNet,911,JP,extended,expanding,Full Test,0.21731057728011022,0.17177083301100474,0.012028198290739766,0.15827869607252468,0.011296682470111367,28
ElasticNet,911,JP,extended,expanding,Shock,0.2872539400516524,0.21860380808300067,0.013948087058517173,0.16600455508607842,0.011296682470111367,28
ElasticNet,911,JP,extended,expanding,Recovery,0.19445557310221914,0.15928203965847243,0.01151622795266579,0.15219840368519794,0.011296682470111367,28
Huber,911,JP,extended,static,Full Test,0.23532800531230375,0.18836460598654137,0.01377870823911145,0.17140173431212333,0.014920670831461577,28
Huber,911,JP,extended,static,Shock,0.3233283841321595,0.2572215273794781,0.01666547817501077,0.18685203950521423,0.014920670831461577,28
Huber,911,JP,extended,static,Recovery,0.20559525864491338,0.1700027602817582,0.013008902922871633,0.16091732251125748,0.014920670831461577,28
Huber,911,JP,extended,expanding,Full Test,0.2261712988350214,0.17814502755958,0.012565743774464242,0.16473242451743741,0.014920670831461577,28
Huber,911,JP,extended,expanding,Shock,0.3139579470304489,0.2435956837792063,0.015757898610228027,0.18143684749165354,0.014920670831461577,28
Huber,911,JP,extended,expanding,Recovery,0.19623749249372882,0.1606915192343463,0.011714502484927232,0.15359309390958614,0.014920670831461577,28
LightGBM,911,JP,extended,static,Full Test,0.23592073804022257,0.18447508207682511,0.013963546759007617,0.17183345265951686,0.012496105623431968,28
LightGBM,911,JP,extended,static,Shock,0.339633849030224,0.26515449744064395,0.019469065148740805,0.1962749962291086,0.012496105623431968,28
LightGBM,911,JP,extended,static,Recovery,0.1993503937765667,0.1629605713131401,0.012495408521745435,0.15602953015319268,0.012496105623431968,28
LightGBM,911,JP,extended,expanding,Full Test,0.2343110307452757,0.1805885803629032,0.013257092424912265,0.1706610183726473,0.012496105623431968,28
LightGBM,911,JP,extended,expanding,Shock,0.3400724548286316,0.2625205063000455,0.01911782329175162,0.19652846728823398,0.012496105623431968,28
