model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
Ridge,normal,US,momentum,static,Full Test,0.16400970179506644,0.09549390268429747,0.023756740238307067,0.2803203827749296,0.029216609368067553,14
Ridge,normal,US,momentum,expanding,Full Test,0.16253903216206442,0.0939192665450219,0.021754102914224117,0.27780675906885327,0.029216609368067553,14
ElasticNet,normal,US,momentum,static,Full Test,0.1626470088781669,0.09441922371330752,0.021740983767831675,0.27799130958054463,0.028035773250193206,14
ElasticNet,normal,US,momentum,expanding,Full Test,0.161525751806712,0.09317305260738079,0.02012433866130409,0.2760748911734673,0.028035773250193206,14
Huber,normal,US,momentum,static,Full Test,0.16305425974906715,0.09163160189343775,0.021368287548963492,0.2786873703547958,0.02785469314652552,14
Huber,normal,US,momentum,expanding,Full Test,0.16153128813520154,0.09025148380971991,0.019817542695561435,0.27608435369735684,0.02785469314652552,14
LightGBM,normal,US,momentum,static,Full Test,0.17556807275376018,0.10079879148818961,0.02306227908166562,0.3000755980819129,0.026136085063132017,14
LightGBM,normal,US,momentum,expanding,Full Test,0.16593954085772966,0.09251378805478105,0.01838448105319481,0.28361880487324986,0.026136085063132017,14
XGBoost,normal,US,momentum,static,Full Test,0.16711564663335526,0.09932365315626036,0.022880657250715048,0.28562896901353424,0.02703239832004912,14
XGBoost,normal,US,momentum,expanding,Full Test,0.16474587241717828,0.09273679757211133,0.01825478966332288,0.28157862316143983,0.02703239832004912,14
Ridge,normal,KR,momentum,static,Full Test,0.10992316520252199,0.07985212146266994,0.019016956865562776,0.20677340874035122,0.014997304786172418,14
Ridge,normal,KR,momentum,expanding,Full Test,0.10835269678614805,0.07842643154617913,0.0174714429994238,0.20381924428216427,0.014997304786172418,14
ElasticNet,normal,KR,momentum,static,Full Test,0.10767811038144709,0.07744161661260035,0.016246593426158324,0.2025502985587317,0.01418212188977661,14
ElasticNet,normal,KR,momentum,expanding,Full Test,0.10690030597938019,0.0767567397578122,0.015655965827715897,0.20108719233128353,0.01418212188977661,14
Huber,normal,KR,momentum,static,Full Test,0.10740546616965325,0.07764593960201531,0.01815054785436073,0.20203743511505198,0.0152666692981024,14
Huber,normal,KR,momentum,expanding,Full Test,0.1052725117534295,0.07559097490285445,0.016389335173158222,0.1980251938871197,0.0152666692981024,14
LightGBM,normal,KR,momentum,static,Full Test,0.10501273207271986,0.07995510213186792,0.01626536385025635,0.19753652955505785,0.013604977599531071,14
LightGBM,normal,KR,momentum,expanding,Full Test,0.09858615300300891,0.07242706328756669,0.013774454317241624,0.1854476704111707,0.013604977599531071,14
XGBoost,normal,KR,momentum,static,Full Test,0.10631384991671103,0.08244268623321556,0.017204082046437606,0.19998402614305438,0.013524975935409467,14
XGBoost,normal,KR,momentum,expanding,Full Test,0.09909912135521388,0.07307486106881785,0.014012883714066664,0.1864126009111788,0.013524975935409467,14
Ridge,normal,JP,momentum,static,Full Test,0.1676375984238038,0.10414381452045526,0.016787852147111336,0.24632992885090535,0.0148001399514617,14
Ridge,normal,JP,momentum,expanding,Full Test,0.16571019314810134,0.10276578764229523,0.016286011447597212,0.24349776226718728,0.0148001399514617,14
ElasticNet,normal,JP,momentum,static,Full Test,0.16871343747181566,0.10508396996873817,0.016938118419397644,0.2479107875523156,0.014588197971928708,14
ElasticNet,normal,JP,momentum,expanding,Full Test,0.16639806194968157,0.10348943191916418,0.01638508787946342,0.24450852998603545,0.014588197971928708,14
Huber,normal,JP,momentum,static,Full Test,0.16884459267539126,0.10373482779244202,0.016752415093613027,0.24810350954469065,0.014775011711844487,14
Huber,normal,JP,momentum,expanding,Full Test,0.1674721948803633,0.10227657923677268,0.016346246804352167,0.2460868816856484,0.014775011711844487,14
LightGBM,normal,JP,momentum,static,Full Test,0.17366334574520387,0.11059653358652423,0.01877141865482658,0.25518427848911424,0.013911387640344362,14
LightGBM,normal,JP,momentum,expanding,Full Test,0.16868498163746307,0.10491325693696461,0.016750799134696757,0.24786897399904728,0.013911387640344362,14
XGBoost,normal,JP,momentum,static,Full Test,0.17478171455661637,0.11326318943333939,0.019967429173593915,0.2568276312472935,0.0137504929024334,14
XGBoost,normal,JP,momentum,expanding,Full Test,0.16003426516098257,0.10401986296159578,0.017270094499738636,0.23515744392347557,0.0137504929024334,14
Ridge,911,US,momentum,static,Full Test,0.2412259025908064,0.16613728182196622,0.021878785199494852,0.22908457796724468,0.013075997686935544,14
Ridge,911,US,momentum,static,Shock,0.41256976970253617,0.3053324770940491,0.026227480012561307,0.2617971573192369,0.013075997686935544,14
Ridge,911,US,momentum,static,Recovery,0.18091424385078275,0.1345020101692201,0.02089044546925248,0.193666175025032,0.013075997686935544,14
Ridge,911,US,momentum,expanding,Full Test,0.24209855663833213,0.16689518731213987,0.022214748980183913,0.22991330979928162,0.013075997686935544,14
Ridge,911,US,momentum,expanding,Shock,0.4108775387701014,0.3002921172192419,0.025799996425768155,0.260723348038546,0.013075997686935544,14
Ridge,911,US,momentum,expanding,Recovery,0.18320560247027717,0.13657770324234395,0.021399920015278406,0.19611904247207576,0.013075997686935544,14
ElasticNet,911,US,momentum,static,Full Test,0.24157854006078208,0.16641520083578815,0.022030001498529104,0.2294194665721465,0.013789825653683837,14
ElasticNet,911,US,momentum,static,Shock,0.4110937899981943,0.3031609172424343,0.026266262120260012,0.2608605707847068,0.013789825653683837,14
ElasticNet,911,US,momentum,static,Recovery,0.18225040673453463,0.13533662892518675,0.021067214993590256,0.19509651875805545,0.013789825653683837,14
ElasticNet,911,US,momentum,expanding,Full Test,0.24250484444003034,0.1677800571731033,0.022332189488715834,0.23029914842019936,0.013789825653683837,14
ElasticNet,911,US,momentum,expanding,Shock,0.40931396601872577,0.29807947086914455,0.02579163284271642,0.2597311791215963,0.013789825653683837,14
ElasticNet,911,US,momentum,expanding,Recovery,0.18465478536569957,0.13816655406036663,0.021545952362806615,0.19767037255142342,0.013789825653683837,14
Huber,911,US,momentum,static,Full Test,0.24327059180737545,0.16818236296759873,0.022251578202203026,0.23102635437359711,0.012279340482048894,14
Huber,911,US,momentum,static,Shock,0.4184164926864412,0.30529125892278924,0.026090423527731083,0.2655072097012207,0.012279340482048894,14
Huber,911,US,momentum,static,Recovery,0.1812223490976404,0.13702125025050998,0.0213791133554921,0.19399599739497916,0.012279340482048894,14
Huber,911,US,momentum,expanding,Full Test,0.24312938493459296,0.16741216889916102,0.02231457622524754,0.23089225469147334,0.012279340482048894,14
Huber,911,US,momentum,expanding,Shock,0.41721825815460417,0.3041290066691055,0.02602156173253718,0.26474686704581274,0.012279340482048894,14
Huber,911,US,momentum,expanding,Recovery,0.1816172131430146,0.1363401603150827,0.02147207951904535,0.19441869384880622,0.012279340482048894,14
LightGBM,911,US,momentum,static,Full Test,0.27748681388335067,0.18147842596177222,0.02518733576758371,0.26352041371682056,0.01659255476891551,14
LightGBM,911,US,momentum,static,Shock,0.48899895630243956,0.31880480239622977,0.033200205411030526,0.31029548477183416,0.01659255476891551,14
LightGBM,911,US,momentum,static,Recovery,0.20038273201916537,0.15026788586303186,0.023366229030436697,0.2145069201031285,0.01659255476891551,14
LightGBM,911,US,momentum,expanding,Full Test,0.2766386206219426,0.17940973403700639,0.025200627272593954,0.26271491151644566,0.01659255476891551,14
LightGBM,911,US,momentum,expanding,Shock,0.4904433339654961,0.32032394913991635,0.03343935803267259,0.31121201815370614,0.01659255476891551,14
LightGBM,911,US,momentum,expanding,Recovery,0.19812848152072055,0.14738377605907235,0.02332818846348517,0.2120937763821611,0.01659255476891551,14
XGBoost,911,US,momentum,static,Full Test,0.24730686976636798,0.1775667981458477,0.024015519957407052,0.23485947935256252,0.016789019232024416,14
XGBoost,911,US,momentum,static,Shock,0.3983522883754768,0.3015327297931623,0.026949927039518026,0.252775419739319,0.016789019232024416,14
XGBoost,911,US,momentum,static,Recovery,0.19747449124545932,0.149392722771458,0.02334860925692728,0.211393688912996,0.016789019232024416,14
XGBoost,911,US,momentum,expanding,Full Test,0.23478598622178457,0.16465782292703707,0.02199292200819291,0.22296879393370225,0.016789019232024416,14
XGBoost,911,US,momentum,expanding,Shock,0.3744600604144006,0.26449013714953856,0.02298326940317005,0.23761454799938816,0.016789019232024416,14
XGBoost,911,US,momentum,expanding,Recovery,0.1891678808958628,0.14196866060374128,0.021767843054789012,0.20250157837715255,0.016789019232024416,14
