model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
Ridge,normal,US,core,0.03084979698402866,90.12852407949295,,,,,,,,,,,,,
ElasticNet,normal,US,core,0.02973284196472533,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,normal,US,core,0.028991910930814543,0.13130515189839984,,1.1130744621081614,,,,,,,,,,,
LightGBM,normal,US,core,0.026165563888025344,,,,1067.0,0.036172697418380785,5.0,202.0,6.0,0.8124496121405842,0.8235194332173258,0.0002517636030145482,0.005815821182795594,,
XGBoost,normal,US,core,0.027388039345680345,,,,391.0,0.02800172197677303,4.0,,,0.8781032317871501,0.8958043600674943,0.032401997265097605,0.01505549494627257,1.063481915699228,0.006214432975803091
Ridge,normal,US,momentum,0.029216609368067553,90.12852407949295,,,,,,,,,,,,,
ElasticNet,normal,US,momentum,0.028035773250193206,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,normal,US,momentum,0.02785469314652552,0.09172999412130559,,1.2769746361670553,,,,,,,,,,,
LightGBM,normal,US,momentum,0.026136085063132017,,,,299.0,0.0744533023808614,8.0,177.0,11.0,0.6007519915724926,0.6332795554644739,0.000583709350760816,0.10027803698862352,,
XGBoost,normal,US,momentum,0.02703239832004912,,,,400.0,0.03425346016405045,4.0,,,0.9357334785914612,0.7862899682571335,0.19049468858961835,0.027799457626358184,1.9616106712854342,0.0018558862679710414
Ridge,normal,US,extended,0.02841974504666368,0.05423185466354641,,,,,,,,,,,,,
ElasticNet,normal,US,extended,0.027658730841027532,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,normal,US,extended,0.02719348872253397,0.046343808617582666,,1.623724590875202,,,,,,,,,,,
LightGBM,normal,US,extended,0.025277618139145752,,,,908.0,0.005293661964364217,10.0,215.0,14.0,0.6727299868828402,0.6733618039413735,0.0033205591037519565,0.042051564509138675,,
XGBoost,normal,US,extended,0.026885010995069316,,,,392.0,0.02776291549119161,4.0,,,0.8840863388083205,0.8918428739784461,0.02246096561836188,0.01326970640639372,1.066739361217902,0.010663319296702937
Ridge,normal,KR,core,0.01568449235139378,90.12852407949295,,,,,,,,,,,,,
ElasticNet,normal,KR,core,0.014411817877495105,0.06424053348246495,0.061859059217006296,,,,,,,,,,,,
Huber,normal,KR,core,0.015646917780435154,0.566984951147885,,1.4370861069626262,,,,,,,,,,,
LightGBM,normal,KR,core,0.014612558862783355,,,,921.0,0.03326193335145496,7.0,61.0,46.0,0.9651241420715323,0.8270135492005293,0.000583986043506728,0.0007110790438239223,,
XGBoost,normal,KR,core,0.014496103047867885,,,,399.0,0.026759179642958136,4.0,,,0.8606872792106469,0.8445688988989989,0.01818011123105649,0.029163991155219927,1.1214158174861493,0.009350563082860072
Ridge,normal,KR,momentum,0.014997304786172418,90.12852407949295,,,,,,,,,,,,,
ElasticNet,normal,KR,momentum,0.01418212188977661,0.05505213813337463,0.07472893223151872,,,,,,,,,,,,
Huber,normal,KR,momentum,0.0152666692981024,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,normal,KR,momentum,0.013604977599531071,,,,952.0,0.053660356023949356,6.0,63.0,40.0,0.9505816392928468,0.6049950654541503,0.0006644162164536917,0.545906503988543,,
XGBoost,normal,KR,momentum,0.013524975935409467,,,,400.0,0.03191890420341058,4.0,,,0.8639411569810401,0.8293834107059245,0.002646318957961574,0.0005709853295146749,1.9135657406269115,0.01336343055169932
Ridge,normal,KR,extended,0.014411739143246945,90.12852407949295,,,,,,,,,,,,,
ElasticNet,normal,KR,extended,0.014337780416494774,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,normal,KR,extended,0.014118183660175984,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,normal,KR,extended,0.014495371036965594,,,,1197.0,0.02760559921195821,10.0,255.0,28.0,0.728131760785334,0.6966219731921359,0.03057925975499065,0.17658288842970266,,
