country,regime,model,feature_set,protocol,RMSE_CV
JP,911,Ridge,core,expanding,0.1556117140951871
JP,covid,XGBoost,momentum,expanding,0.2726201281408961
JP,gfc,Ridge,momentum,static,0.2029469254566169
JP,normal,XGBoost,momentum,expanding,0.2351574439234755
KR,911,LightGBM,momentum,static,0.2327255880499858
KR,covid,Huber,extended,static,0.2500379235888051
KR,gfc,Ridge,extended,static,0.2072127487352626
KR,normal,LightGBM,momentum,expanding,0.1854476704111707
US,911,XGBoost,momentum,expanding,0.2229687939337022
US,covid,LightGBM,extended,static,0.2992405385671138
US,gfc,Ridge,momentum,expanding,0.2352183326145532
US,normal,XGBoost,extended,expanding,0.2623922458790325
