regime,country,tier,model,feature,importance_raw,importance_norm,rank
911,JP,core,Ridge,RV_d,0.04158683554739588,0.17019849398856077,3
911,JP,core,Ridge,RV_w,0.09049877839925215,0.3703757592664853,2
911,JP,core,Ridge,RV_m,0.005898170242719309,0.02413888143652784,8
911,JP,core,Ridge,log_return,0.014911270708357084,0.061025942094722195,7
911,JP,core,Ridge,neg_return,0.0024291886632201347,0.009941709838031701,9
911,JP,core,Ridge,semivariance,0.01618223703584194,0.06622750532983686,6
911,JP,core,Ridge,parkinson_rv,0.0017513849328027443,0.007167726854753424,10
911,JP,core,Ridge,hl_range,0.2443431464804323,1.0,1
911,JP,core,Ridge,weekday_sin,0.02633736515349318,0.10778843414624832,4
911,JP,core,Ridge,weekday_cos,0.02296291490923331,0.09397814196958558,5
911,JP,extended,ElasticNet,RV_d,0.026966658331646225,0.09974292360575786,3
911,JP,extended,ElasticNet,RV_w,0.0948255996186572,0.35073617288110304,2
911,JP,extended,ElasticNet,RV_m,0.0,0.0,21
911,JP,extended,ElasticNet,log_return,0.0,0.0,22
911,JP,extended,ElasticNet,neg_return,0.0,0.0,23
911,JP,extended,ElasticNet,semivariance,0.01331553398892485,0.04925082941658369,9
911,JP,extended,ElasticNet,parkinson_rv,0.0138633305838488,0.05127699199286676,8
911,JP,extended,ElasticNet,hl_range,0.270361619218564,1.0,1
911,JP,extended,ElasticNet,weekday_sin,0.021241910894983815,0.07856851485199741,5
911,JP,extended,ElasticNet,weekday_cos,0.017355138597676758,0.06419231637922182,7
911,JP,extended,ElasticNet,momentum_1w,0.019791937810628605,0.07320542711585307,6
911,JP,extended,ElasticNet,momentum_1m,0.0,0.0,24
911,JP,extended,ElasticNet,momentum_3m,0.002297087101779828,0.008496350585631134,18
911,JP,extended,ElasticNet,momentum_6m,0.007282046976142783,0.026934470200283413,13
911,JP,extended,ElasticNet,fx_level,0.0006511819407060589,0.0024085591090488127,19
911,JP,extended,ElasticNet,fx_change,0.008775132919621429,0.03245702161787799,11
911,JP,extended,ElasticNet,rate_3y,0.008723041752024752,0.03226434941926031,12
911,JP,extended,ElasticNet,rate_10y,0.006232107442433591,0.02305100650176041,14
911,JP,extended,ElasticNet,rate_spread,0.0,0.0,25
