country,regime,feature_set,model,protocol,RMSE_CV
JP,911,core,Ridge,expanding,0.1556117140951871
JP,911,extended,ElasticNet,expanding,0.1582786960725246
JP,911,momentum,Ridge,expanding,0.1564555423093004
JP,covid,core,XGBoost,expanding,0.280656194698942
JP,covid,extended,XGBoost,expanding,0.2833852062441899
JP,covid,momentum,XGBoost,expanding,0.2726201281408961
JP,gfc,core,Ridge,static,0.2052639106695704
JP,gfc,extended,ElasticNet,static,0.2046340521255253
JP,gfc,momentum,Ridge,static,0.2029469254566169
JP,normal,core,Ridge,expanding,0.243981142185165
JP,normal,extended,XGBoost,expanding,0.237167423439062
JP,normal,momentum,XGBoost,expanding,0.2351574439234755
KR,911,core,XGBoost,static,0.2549416793262007
KR,911,extended,LightGBM,static,0.2553318533340662
KR,911,momentum,LightGBM,static,0.2327255880499858
KR,covid,core,Huber,static,0.2505237655306019
KR,covid,extended,Huber,static,0.2500379235888051
KR,covid,momentum,Huber,static,0.2507887906943573
KR,gfc,core,Huber,expanding,0.211176141644796
KR,gfc,extended,Ridge,static,0.2072127487352626
KR,gfc,momentum,Huber,expanding,0.2158635024096339
KR,normal,core,LightGBM,expanding,0.1899944421853816
KR,normal,extended,XGBoost,expanding,0.186226326848355
KR,normal,momentum,LightGBM,expanding,0.1854476704111707
US,911,core,XGBoost,expanding,0.2301095487952333
US,911,extended,XGBoost,expanding,0.2288761538577578
US,911,momentum,XGBoost,expanding,0.2229687939337022
US,covid,core,LightGBM,expanding,0.3404581193199286
US,covid,extended,LightGBM,static,0.2992405385671138
US,covid,momentum,LightGBM,expanding,0.3204760317012985
US,gfc,core,Ridge,expanding,0.2392899468851587
US,gfc,extended,Ridge,expanding,0.2364715568082658
US,gfc,momentum,Ridge,expanding,0.2352183326145532
US,normal,core,ElasticNet,expanding,0.278405249974198
US,normal,extended,XGBoost,expanding,0.2623922458790325
US,normal,momentum,ElasticNet,expanding,0.2760748911734673
